word,index,binary
abide,0,00000000000
ability,1,00000000001
able,2,00000000011
abnormal,3,00000000010
abstracted,4,00000000110
abstracts,5,00000000111
accept,6,00000000101
acceptable,7,00000000100
accepting,8,00000001100
access,9,00000001101
accessed,10,00000001111
accessibility,11,00000001110
accessible,12,00000001010
accommodate,13,00000001011
accommodated,14,00000001001
accompanied,15,00000001000
accomplish,16,00000011000
according,17,00000011001
accordingly,18,00000011011
account,19,00000011010
accountability,20,00000011110
accounts,21,00000011111
accumulate,22,00000011101
accumulation,23,00000011100
accuracythe,24,00000010100
accurate,25,00000010101
accurately,26,00000010111
achieved,27,00000010110
achieving,28,00000010010
acknowledge,29,00000010011
acknowledgements,30,00000010001
across,31,00000010000
act,32,00000110000
acted,33,00000110001
action,34,00000110011
actions,35,00000110010
activated,36,00000110110
activating,37,00000110111
activation,38,00000110101
active,39,00000110100
activities,40,00000111100
activity,41,00000111101
actor,42,00000111111
acts,43,00000111110
actual,44,00000111010
adaptability,45,00000111011
adaptable,46,00000111001
adaptation,47,00000111000
adapting,48,00000101000
add,49,00000101001
added,50,00000101011
addedit,51,00000101010
addition,52,00000101110
additional,53,00000101111
additionally,54,00000101101
addremove,55,00000101100
address,56,00000100100
addresses,57,00000100101
adequate,58,00000100111
adjustable,59,00000100110
adjustment,60,00000100010
adjustments,61,00000100011
admin,62,00000100001
administrative,63,00000100000
administrator,64,00001100000
administrators,65,00001100001
admins,66,00001100011
adminusers,67,00001100010
admissibility,68,00001100110
adopting,69,00001100111
advanced,70,00001100101
advantage,71,00001100100
advise,72,00001101100
affect,73,00001101101
affecting,74,00001101111
afterward,75,00001101110
age,76,00001101010
agent,77,00001101011
agents,78,00001101001
aggregate,79,00001101000
aids,80,00001111000
aips,81,00001111001
ajax,82,00001111011
alert,83,00001111010
alerts,84,00001111110
alive,85,00001111111
allocate,86,00001111101
allocated,87,00001111100
allocation,88,00001110100
allow,89,00001110101
allowed,90,00001110111
allowing,91,00001110110
allows,92,00001110010
along,93,00001110011
also,94,00001110001
alter,95,00001110000
alternate,96,00001010000
alternative,97,00001010001
alternatively,98,00001010011
