lambda_gram,embedding
transfer shall,1001001001110101110100
shall take,1010111010010110011100
take place,1011001110011110011011
place manner,1111001101111000010000
manner data,1100001000000101100011
data needed,0010110001111011000000
needed perform,1101100000011010000111
perform fourier,1101000011101110101111
fourier transform,0111010111110010010000
transform showsup,1001001000010101010010
showsup single,1010101001010101011000
single processor,1010101100011111110000
processor backend,1111111000000011100100
backend tofrom,0001110010010010001001
tofrom monitor,1001000100111001010000
monitor control,1100101000000101000111
control interface,0010100011101001001000
shall receive,1010111010011101110100
receive via,1110111010010011000010
via mc,1001100001011000111011
mc state,1100011101110111110110
state count,1011111011000101010111
count data,0010101011100101100011
data produced,0010110001111111010011
produced correlator,1111101001100101011111
correlator data,0010101111100101100011
data valid,0010110001110011011011
valid counts,1001101101100101010010
counts quantizer,0010101001011101000100
quantizer power,1110100010011110101010
power measurement,1111010101011000101001
measurement data,1100010100100101100011
data filter,0010110001101111110010
filter parameters,0111111001011010110000
parameters frequency,1101011000001110111010
frequency shift,0111011101010101110110
shift parameters,1010111011011010110000
parameters windowing,1101011000010001110111
windowing parameters,1000111011111010110000
parameters observational,1101011000011011110000
observational mode,1101111000011001110100
mode shall,1100111010010101110100
mc data,1100011101100101100011
data parameters,0010110001111010110000
parameters specific,1101011000010111001100
specific current,1011100110000101111000
current evla,0010111100001101011000
evla observational,0110101100011011110000
mode needed,1100111010011011000000
needed processing,1101100000011111110001
processing correlator,1111111000100101011111
correlator lag,0010101111101000100100
lag values,0100010010010011001011
values metadata,1001100101111001100111
metadata shall,1100110011110101110100
mc metadata,1100011101111001100111
metadata necessary,1100110011111001000001
necessary format,1100100000101110100000
format results,0111010000010100000000
results delivery,1010000000000100111111
delivery ee,0010011111101100101010
ee operational,0110010101011011100010
operational status,1101110001010111111110
includes lag,0101111111101000100100
lag frame,0100010010001110101110
frame destination,0111010111000100011110
destination addresses,0010001111000000100101
addresses address,0000010010100000100100
address changes,0000010010000110011110
changes error,0011001111001101010011
error warning,0110101001110001001000
warning shall,1000100100010101110100
shall provide,1010111010011111000110
provide error,1111100011001101010011
warning reports,1000100100011100110011
reports mc,1110011001111000111011
mc operating,1100011101111011100111
operating conditions,1101110011100111010001
conditions warrant,0011101000110001011000
warrant debugtest,1000101100000100100101
debugtest messages,0010010010111001100010
messages shall,1100110001010101110100
provide several,1111100011010101111100
several optionally,1010111110011010100001
optionally selectable,1101010000110100100011
selectable levels,1010010001101000010011
levels printed,0100001001111111101001
printed messages,1111110100111001100010
messages detailing,1100110001000100011011
