lambda_gram,embedding
transfer shall take place,11100011101110010110001101110100010100010010
shall take place manner,11001011000110111010001010001001010000011111
take place manner data,11011101000101000100101000001111100110111101
place manner data needed,10100010010100000111110011011110110010000000
manner data needed perform,10000011111001101111011001000000010011111010
data needed perform fourier,00110111101100100000001001111101001011001010
needed perform fourier transform,10010000000100111110100101100101011100011111
perform fourier transform showsup,10011111010010110010101110001111111001100011
fourier transform showsup single,01011001010111000111111100110001111001101111
transform showsup single processor,11100011111110011000111100110111110101011111
showsup single processor backend,11001100011110011011111010101111100010111000
single processor backend tofrom,11001101111101010111110001011100011100001110
processor backend tofrom monitor,10101011111000101110001110000111010001100000
backend tofrom monitor control,00010111000111000011101000110000000110000101
tofrom monitor control interface,11100001110100011000000011000010101110001111
shall receive via mc,11001011000101101001111110111110010000101101
receive via mc state,10110100111111011111001000010110111010100100
via mc state count,11101111100100001011011101010010000110011010
mc state count data,10000101101110101001000011001101000110111101
state count data produced,11010100100001100110100011011110110101100010
count data produced correlator,00110011010001101111011010110001000110010101
data produced correlator data,00110111101101011000100011001010100110111101
produced correlator data valid,10101100010001100101010011011110111101101101
correlator data valid counts,00110010101001101111011110110110100110011100
data valid counts quantizer,00110111101111011011010011001110010110000111
valid counts quantizer power,11101101101001100111001011000011110100110011
counts quantizer power measurement,00110011100101100001111010011001110000110001
quantizer power measurement data,10110000111101001100111000011000100110111101
power measurement data filter,10100110011100001100010011011110101010100011
measurement data filter parameters,10000110001001101111010101010001110011011111
data filter parameters frequency,00110111101010101000111001101111101011010011
filter parameters frequency shift,01010100011100110111110101101001111001011011
parameters frequency shift parameters,10011011111010110100111100101101110011011111
frequency shift parameters windowing,01011010011110010110111001101111111110100101
shift parameters windowing parameters,11001011011100110111111111010010110011011111
parameters windowing parameters observational,10011011111111101001011001101111110010100000
windowing parameters observational mode,11110100101100110111111001010000010001011000
parameters observational mode shall,10011011111100101000001000101100011001011000
observational mode shall receive,10010100000100010110001100101100010110100111
mode shall receive via,10001011000110010110001011010011111101111100
receive via mc data,10110100111111011111001000010110100110111101
via mc data parameters,11101111100100001011010011011110110011011111
mc data parameters specific,10000101101001101111011001101111111010001000
data parameters specific current,00110111101100110111111101000100000110101111
parameters specific current evla,10011011111110100010000011010111101001101111
specific current evla observational,11010001000001101011110100110111110010100000
current evla observational mode,00110101111010011011111001010000010001011000
evla observational mode needed,01001101111100101000001000101100010010000000
observational mode needed processing,10010100000100010110001001000000010101011110
mode needed processing correlator,10001011000100100000001010101111000110010101
needed processing correlator lag,10010000000101010111100011001010101111000111
processing correlator lag values,10101011110001100101010111100011111101110010
correlator lag values metadata,00110010101011110001111110111001010001000101
lag values metadata shall,01111000111111011100101000100010111001011000
values metadata shall receive,11101110010100010001011100101100010110100111
metadata shall receive via,10001000101110010110001011010011111101111100
receive via mc metadata,10110100111111011111001000010110110001000101
via mc metadata necessary,11101111100100001011011000100010110001111110
mc metadata necessary format,10000101101100010001011000111111001011000000
metadata necessary format results,10001000101100011111100101100000011000000000
necessary format results delivery,10001111110010110000001100000000000111010101
format results delivery ee,01011000000110000000000011101010101000110011
results delivery ee operational,11000000000001110101010100011001110010111100
delivery ee operational status,00111010101010001100111001011110011010101011
includes lag frame destination,01101010101011110001110101100101100111101011
lag frame destination addresses,01111000111010110010110011110101100000111001
frame destination addresses address,01011001011001111010110000011100100000111000
destination addresses address changes,00111101011000001110010000011100000100010100
addresses address changes error,00000111001000001110000010001010001001100010
address changes error warning,00000111000001000101000100110001011110001111
changes error warning shall,00100010100010011000101111000111111001011000
error warning shall provide,01001100010111100011111100101100010101111011
warning shall provide error,11110001111110010110001010111101101001100010
shall provide error warning,11001011000101011110110100110001011110001111
provide error warning reports,10101111011010011000101111000111110111011101
error warning reports mc,01001100010111100011111011101110110000101101
warning reports mc operating,11110001111101110111011000010110110010111010
reports mc operating conditions,10111011101100001011011001011101000101100001
mc operating conditions warrant,10000101101100101110100010110000111110010000
operating conditions warrant debugtest,10010111010001011000011111001000000111000110
conditions warrant debugtest messages,00101100001111100100000011100011010001000011
warrant debugtest messages shall,11110010000001110001101000100001111001011000
debugtest messages shall provide,00111000110100010000111100101100010101111011
messages shall provide several,10001000011110010110001010111101111001010111
shall provide several optionally,11001011000101011110111100101011110011000001
provide several optionally selectable,10101111011110010101111001100000111000111101
several optionally selectable levels,11001010111100110000011100011110101111100010
optionally selectable levels printed,10011000001110001111010111110001010101001110
selectable levels printed messages,11000111101011111000101010100111010001000011
levels printed messages detailing,01111100010101010011101000100001100111101101
printed messages detailing operational,10101001110100010000110011110110110010111100
messages detailing operational parameters,10001000011001111011011001011110010011011111
detailing operational parameters critical,00111101101100101111001001101111100110101011
operational parameters critical locations,10010111100100110111110011010101101111111001
parameters critical locations system,10011011111001101010110111111100111011100001
formatted output shall deliver,01011000010100110011001100101100000111010011
output shall deliver formatted,10011001100110010110000011101001101011000010
shall deliver formatted final,11001011000001110100110101100001001010100101
deliver formatted final results,00111010011010110000100101010010111000000000
formatted final results ee,01011000010010101001011100000000001000110011
final results ee system,01010100101110000000000100011001111011100001
shall produce data needed,11001011000101011000010011011110110010000000
produce data needed ee,10101100001001101111011001000000001000110011
data needed ee system,00110111101100100000000100011001111011100001
needed ee system archiving,10010000000010001100111101110000100010000101
ee system archiving processing,01000110011110111000010001000010110101011110
output currently expected form,10011001100001101100000101000000001010111111
currently expected form compatible,00110110000010100000000101011111100101001001
expected form compatible aips,01010000000010101111110010100100100001010001
form compatible aips measurement,01010111111001010010010000101000110000110001
compatible aips measurement sets,00101001001000010100011000011000111001010110
monitor control system shall,10001100000001100001011101110000111001011000
control system shall acknowledge,00110000101110111000011100101100000000011101
system shall acknowledge receipt,11011100001110010110000000001110110110100110
shall acknowledge receipt data,11001011000000000111011011010011000110111101
acknowledge receipt data received,00000011101101101001100011011110110110101000
receipt data received mc,10110100110001101111011011010100010000101101
data received mc correlator,00110111101101101010001000010110100110010101
received mc correlator system,10110101000100001011010011001010111011100001
mc correlator system shall,10000101101001100101011101110000111001011000
correlator system shall notify,00110010101110111000011100101100010010011100
system shall notify mc,11011100001110010110001001001110010000101101
shall notify mc detected,11001011000100100111001000010110100111101111
notify mc detected interruptions,10010011100100001011010011110111101110011001
mc detected interruptions data,10000101101001111011110111001100100110111101
detected interruptions data delivery,00111101111011100110010011011110100111010101
interruptions data delivery correlator,01110011001001101111010011101010100110010101
data delivery correlator ee,00110111101001110101010011001010101000110011
delivery correlator ee shall,00111010101001100101010100011001111001011000
correlator ee shall verify,00110010101010001100111100101100011101111000
ee shall verify successful,01000110011110010110001110111100011011001010
shall verify successful delivery,11001011000111011110001101100101000111010101
verify successful delivery output,11101111000110110010100011101010110011001100
successful delivery output ee,11011001010001110101011001100110001000110011
delivery output ee internal,00111010101100110011000100011001101110010010
output ee internal data,10011001100010001100110111001001000110111101
ee internal data shall,01000110011011100100100011011110111001011000
internal data shall guarantee,01110010010001101111011100101100001100000010
data shall guarantee safe,00110111101110010110000110000001011000011010
shall guarantee safe delivery,11001011000011000000101100001101000111010101
guarantee safe delivery internal,01100000010110000110100011101010101110010010
safe delivery internal messages,11000011010001110101010111001001010001000011
delivery internal messages lag,00111010101011100100101000100001101111000111
internal messages lag frames,01110010010100010000110111100011101011001101
messages lag frames shall,10001000011011110001110101100110111001011000
lag frames shall able,01111000111010110011011100101100000000000010
frames shall able handle,01011001101110010110000000000001001100001011
shall able handle lag,11001011000000000000100110000101101111000111
able handle lag frames,00000000010011000010110111100011101011001101
handle lag frames less,01100001011011110001110101100110101111011111
lag frames less values,01111000111010110011010111101111111101110010
frames less values lag,01011001101011110111111110111001001111000111
less values lag sets,01111011111111011100100111100011111001010110
values lag sets shall,11101110010011110001111100101011011001011000
lag sets shall able,01111000111110010101101100101100000000000010
sets shall able handle,11001010110110010110000000000001001100001011
able handle lag sets,00000000010011000010110111100011111001010110
handle lag sets maximum,01100001011011110001111100101011010000101011
lag sets maximum size,01111000111110010101101000010101111001110100
sets maximum size value,11001010110100001010111100111010011101110001
data receive shall receive,00110111101101101001111100101100010110100111
receive shall receive incoming,10110100111110010110001011010011101101010111
shall receive incoming data,11001011000101101001110110101011100110111101
receive incoming data packets,10110100111011010101110011011110110011011000
incoming data packets correlator,01101010111001101111011001101100000110010101
data packets correlator backend,00110111101100110110000011001010100010111000
packets correlator backend network,10011011000001100101010001011100010010000101
correlator backend network interface,00110010101000101110001001000010101110001111
network part system verify,10010000101100111000011101110000111101111000
part system verify receive,10011100001110111000011110111100010110100111
system verify receive shall,11011100001111011110001011010011111001011000
verify receive shall verify,11101111000101101001111100101100011101111000
receive shall verify successful,10110100111110010110001110111100011011001010
shall verify successful receipt,11001011000111011110001101100101010110100110
verify successful receipt incoming,11101111000110110010101011010011001101010111
successful receipt incoming data,11011001010101101001100110101011100110111101
receipt incoming data correlator,10110100110011010101110011011110100110010101
includes checking receive errors,01101010101001000111001011010011101001100011
checking receive errors determining,00100011100101101001110100110001100111110011
receive errors determining expected,10110100111010011000110011111001101010000000
errors determining expected data,01001100011001111100110101000000000110111101
determining expected data received,00111110011010100000000011011110110110101000
expected data received accumulation,01010000000001101111011011010100000000010111
data received accumulation error,00110111101101101010000000001011101001100010
received accumulation error statistics,10110101000000000101110100110001011010101010
accumulation error statistics comparison,00000010111010011000101101010101000101000110
error statistics comparison tolerances,01001100010110101010100010100011011100010000
statistics comparison tolerances reporting,11010101010001010001101110001000010111011100
comparison tolerances reporting tolerance,00101000110111000100001011101110011100001111
tolerances reporting tolerance conditions,11100010000101110111001110000111100101100001
reporting tolerance conditions input,10111011100111000011110010110000101101110101
tolerance conditions input data,11100001111001011000010110111010100110111101
conditions input data management,00101100001011011101010011011110110000011100
input data management shall,01101110101001101111011000001110011001011000
data management shall store,00110111101100000111001100101100011010110100
management shall store input,10000011100110010110001101011010001101110101
shall store input data,11001011000110101101000110111010100110111101
store input data records,11010110100011011101010011011110110110110100
input data records memory,01101110101001101111011011011010010000111100
data records memory buffer,00110111101101101101001000011110000011100101
records memory buffer track,10110110100100001111000001110010111100010111
memory buffer track buffer,10000111100000111001011110001011100011100101
buffer track buffer locations,00011100101111000101110001110010101111111001
track buffer locations input,11100010111000111001010111111100101101110101
buffer locations input data,00011100101011111110010110111010100110111101
locations input data data,01111111001011011101010011011110100110111101
input data data processing,01101110101001101111010011011110110101011110
data data processing complete,00110111101001101111011010101111000101001110
report buffer overflow conditions,10111011010000111001011001100111100101100001
buffer overflow conditions processing,00011100101100110011110010110000110101011110
overflow conditions processing management,10011001111001011000011010101111010000011100
conditions processing management shall,00101100001101010111101000001110011001011000
processing management shall respond,10101011110100000111001100101100010111110101
management shall respond incoming,10000011100110010110001011111010101101010111
shall respond incoming correlator,11001011000101111101010110101011100110010101
respond incoming correlator mode,10111110101011010101110011001010110001011000
incoming correlator mode changes,01101010111001100101011000101100000100010100
correlator mode changes user,00110010101100010110000010001010011101011100
mode changes user optional,10001011000001000101001110101110010011000000
changes user optional processing,00100010100111010111001001100000010101011110
user optional processing sequence,11101011100100110000001010101111011001001100
optional processing sequence andor,10011000000101010111101100100110000001101010
processing sequence andor parameter,10101011110110010011000000110101010011011110
sequence andor parameter changes,11001001100000011010101001101111000100010100
andor parameter changes external,00001101010100110111100010001010001010001010
parameter changes external inputs,10011011110001000101000101000101001101110110
changes external inputs affect,00100010100010100010100110111011000001001001
external inputs affect data,01010001010011011101100000100100100110111101
inputs affect data processing,01101110110000010010010011011110110101011110
affect data processing pipeline,00001001001001101111011010101111010100010001
update internal parameter tables,11101010000011100100101001101111011011100101
internal parameter tables synchronize,01110010010100110111101101110010111011100000
parameter tables synchronize data,10011011110110111001011101110000000110111101
tables synchronize data processing,11011100101110111000000011011110110101011110
synchronize data processing pipeline,11011100000001101111011010101111010100010001
data processing pipeline evla,00110111101101010111101010001000101001101111
processing pipeline evla operations,10101011110101000100010100110111110010111101
pipeline evla operations system,10100010001010011011111001011110111011100001
evla operations system srs,01001101111100101111011101110000111010010111
operations system srs new,10010111101110111000011101001011110010001000
system srs new operational,11011100001110100101111001000100010010111100
srs new operational conditions,11010010111100100010001001011110000101100001
new operational conditions time,10010001000100101111000010110000111100001001
operational conditions time series,10010111100001011000011110000100111001001110
conditions time series assembly,00101100001111000010011100100111000010010000
time series assembly shall,11100001001110010011100001001000011001011000
series assembly shall assemble,11001001110000100100001100101100000010001111
assembly shall assemble received,00010010000110010110000001000111110110101000
shall assemble received input,11001011000000100011111011010100001101110101
assemble received input data,00010001111101101010000110111010100110111101
received input data continuous,10110101000011011101010011011110100110000100
input data continuous time,01101110101001101111010011000010011100001001
data continuous time series,00110111101001100001001110000100111001001110
continuous time series lag,00110000100111000010011100100111001111000111
time series lag sets,11100001001110010011100111100011111001010110
series lag sets data,11001001110011110001111100101011000110111101
lag sets data integrity,01111000111110010101100011011110101110000001
sets data integrity verification,11001010110001101111010111000000111101110111
data integrity verification shall,00110111101011100000011110111011111001011000
integrity verification shall ensure,01110000001111011101111100101100001001010101
verification shall ensure time,11101110111110010110000100101010111100001001
shall ensure time series,11001011000010010101011110000100111001001110
ensure time series data,01001010101111000010011100100111000110111101
time series data correctly,11100001001110010011100011011110100110010001
series data correctly ordered,11001001110001101111010011001000110011000100
data correctly ordered contains,00110111101001100100011001100010000101111110
correctly ordered contains valid,00110010001100110001000010111111011101101101
ordered contains valid data,10011000100001011111101110110110100110111101
contains valid data values,00101111110111011011010011011110111101110010
valid data values along,11101101101001101111011110111001000001011101
data values along entire,00110111101111011100100000101110101001011001
values along entire extent,11101110010000010111010100101100101010001001
compare tolerances report tolerance,00101000100111000100001011101101011100001111
tolerances report tolerance conditions,11100010000101110110101110000111100101100001
report tolerance conditions data,10111011010111000011110010110000100110111101
tolerance conditions data invalid,11100001111001011000010011011110101110011110
conditions data invalid shall,00101100001001101111010111001111011001011000
data invalid shall replace,00110111101011100111101100101100010111010010
