lambda_gram,embedding
the transfer shall take,011101001111011101110111011010011101011100110011
transfer shall take place,011101110111011010011101011100110011010101010110
shall take place in,011010011101011100110011010101010110001101111011
take place in such,011100110011010101010110001101111011011100010101
place in such a,010101010110001101111011011100010101000000000000
in such a manner,001101111011011100010101000000000000010001010001
such a manner that,011100010101000000000000010001010001011101001110
a manner that all,000000000000010001010001011101001110000001011100
manner that all data,010001010001011101001110000001011100000111010101
that all data needed,011101001110000001011100000111010101010010110110
all data needed to,000001011100000111010101010010110110011101100101
data needed to perform,000111010101010010110110011101100101010100111110
needed to perform any,010010110110011101100101010100111110000001110111
to perform any fourier,011101100101010100111110000001110111001011101001
perform any fourier transform,010100111110000001110111001011101001011101111001
any fourier transform showsup,000001110111001011101001011101111001011010101010
fourier transform showsup on,001011101001011101111001011010101010010011101100
transform showsup on a,011101111001011010101010010011101100000000000000
showsup on a single,011010101010010011101100000000000000011010110110
on a single processor,010011101100000000000000011010110110010110100011
a single processor backend,000000000000011010110110010110100011000011000101
single processor backend tofrom,011010110110010110100011000011000101011101100111
processor backend tofrom monitor,010110100011000011000101011101100111010010010011
backend tofrom monitor and,000011000101011101100111010010010011000001110010
tofrom monitor and control,011101100111010010010011000001110010000110011101
monitor and control interface,010010010011000001110010000110011101001110111010
the be shall receive,011101001111000011010010011010011101010111101011
be shall receive via,000011010010011010011101010111101011011111011010
shall receive via mc,011010011101010111101011011111011010010001011111
receive via mc state,010111101011011111011010010001011111011011101101
via mc state count,011111011010010001011111011011101101000110110010
mc state count data,010001011111011011101101000110110010000111010101
state count data produced,011011101101000110110010000111010101010110100110
count data produced by,000110110010000111010101010110100110000100000011
data produced by the,000111010101010110100110000100000011011101001111
produced by the correlator,010110100110000100000011011101001111000110101101
by the correlator data,000100000011011101001111000110101101000111010101
the correlator data valid,011101001111000110101101000111010101011111001010
correlator data valid counts,000110101101000111010101011111001010000110110100
data valid counts quantizer,000111010101011111001010000110110100010111001011
