lambda_gram,embedding
érase vez familia oso,1111101101001111111010000001101100011010100110110100
vez familia oso vivir,1111110100000011011000110101001101101001111111011010
familia oso vivir lindo,0110110001101010011011010011111110110100101001010000
oso vivir lindo casita,0100110110100111111101101001010010100000001001111101
vivir lindo casita bosque,1111111011010010100101000000010011111010001110101000
papá oso grande mamá,0100010010011010011011010001101000011000101010000101
oso grande mamá ós,0100110110100011010000110001010100001011111101100111
grande mamá ós tamaño,0110100001100010101000010111111011001111101000100010
mamá ós tamaño mediano,0101010000101111110110011111010001000100101111101110
ós tamaño mediano osito,1111101100111110100010001001011111011100100110111100
tamaño mediano osito pequeño,1101000100010010111110111001001101111000100001010111
mañana mamá ós servir,0101111100010010101000010111111011001111101110001101
mamá ós servir deliciós,0101010000101111110110011111011100011010010100000110
ós servir deliciós avén,1111101100111110111000110100101000001100001101101010
servir deliciós avén desayuno,1101110001101001010000011000011011010100010100101101
deliciós avén desayuno demasiado,0010100000110000110110101000101001011010010100000100
avén desayuno demasiado caliente,0001101101010001010010110100101000001000001010101010
desayuno demasiado caliente comer,0010100101101001010000010000010101010100011001011010
demasiado caliente comer tres,0010100000100000101010101000110010110101111011010101
caliente comer tres oso,0001010101010001100101101011110110101010100110110100
comer tres oso decidir,0011001011010111101101010101001101101000011100111000
tres oso decidir ir,1111011010101010011011010000111001110000111001111111
oso decidir ir paseo,0100110110100001110011100001110011111110100011100001
decidir ir paseo bosque,0011100111000011100111111101000111000010001110101000
ir paseo bosque mientras,0111001111111010001110000100011101010000101101001111
paseo bosque mientras enfriar,0100011100001000111010100001011010011110010001100010
cabo minuto niña llamado,0001010010011010110101011101001011001000101001010100
minuto niña llamado ricito,0101101010111010010110010001010010101001101100100011
niña llamado ricito oro,0100101100100010100101010011011001000110100110111000
llamado ricito oro llegar,0101001010100110110010001101001101110000101001001010
ricito oro llegar casa,1101100100011010011011100001010010010100001001010000
oro llegar casa oso,0100110111000010100100101000010010100000100110110100
llegar casa oso tocar,0101001001010000100101000001001101101001111000100111
casa oso tocar puerta,0001001010000010011011010011110001001111100010001100
encontrar respuesta abrir puerta,0010001110011110110001011100000001111111100010001100
respuesta abrir puerta entrar,1101100010111000000011111111000100011000010000001000
abrir puerta entrar casa,0000000111111110001000110000100000010000001001010000
puerta entrar casa permiso,1100010001100001000000100000010010100000100001101111
cocina més tres taza,0011000111000010010000100111110110101011101000111101
més tres taza avén,0100100001001111101101010111010001111010001101101010
tres taza avén grande,1111011010101110100011110100011011010100110100001100
taza avén grande mediana,1101000111101000110110101001101000011000101111101111
avén grande mediana pequeño,0001101101010011010000110001011111011110100001010111
ricito oro gran apetito,1101100100011010011011100001101000011010000111001001
oro gran apetito avén,0100110111000011010000110100001110010010001101101010
gran apetito avén ver,0110100001101000011100100100011011010101111110110101
apetito avén ver deliciós,0000111001001000110110101011111101101010010100000110
primero probar avén taza,1100011010000110001111100000011011010101101000111101
probar avén taza grande,1100011111000000110110101011010001111010110100001100
avén taza grande avén,0001101101010110100011110101101000011000001101101010
taza grande avén frío,1101000111101011010000110000011011010100110101001000
grande avén frío gustar,0110100001100000110110101001101010010000111100100110
luego probar avén taza,0101011101001110001111100000011011010101101000111101
probar avén taza mediano,1100011111000000110110101011010001111010101111101110
avén taza mediano avén,0001101101010110100011110101011111011100001101101010
taza mediano avén caliente,1101000111101010111110111000011011010100001010101010
mediano avén caliente tampoco,0101111101110000110110101000010101010101101000100110
avén caliente tampoco gustar,0001101101010000101010101011010001001100111100100110
último probar avén taza,1111101100110110001111100000011011010101101000111101
probar avén taza pequeño,1100011111000000110110101011010001111010100001010111
avén taza pequeño vez,0001101101010110100011110101000010101111111110100000
taza pequeño vez avén,1101000111101010000101011111111101000000001101101010
pequeño vez avén fría,0100001010111111111010000000011011010100110101001001
vez avén fría caliente,1111110100000000110110101001101010010010001010101010
avén fría caliente perfecta,0001101101010011010100100100010101010100100001111101
avén tanto deliciós comer,0001101101010110100010010000101000001100011001011010
tanto deliciós comer todo,1101000100100001010000011000110010110101111000100000
deliciós comer todo dejar,0010100000110001100101101011110001000000011100011110
comer todo dejar poquito,0011001011010111100010000000111000111101100001111111
después comer desayuno oso,0010111000000001100101101000101001011010100110110100
comer desayuno oso ricito,0011001011010001010010110101001101101001101100100011
desayuno oso ricito oro,0010100101101010011011010011011001000110100110111000
oso ricito oro sala,0100110110100110110010001101001101110001101111011110
sala tres silla grande,1101111011110111101101010111010100110010110100001100
tres silla grande mediana,1111011010101110101001100101101000011000101111101111
silla grande mediana pequeño,1101010011001011010000110001011111011110100001010111
primero sentar silla grande,1100011010000110111001011011010100110010110100001100
sentar silla grande silla,1101110010110110101001100101101000011001101010011001
silla grande silla alto,1101010011001011010000110011010100110010000110011110
grande silla alto gustar,0110100001100110101001100100001100111100111100100110
luego sentar silla mediano,0101011101001110111001011011010100110010101111101110
sentar silla mediano silla,1101110010110110101001100101011111011101101010011001
silla mediano silla ancho,1101010011001010111110111011010100110010000110100010
mediano silla ancho tampoco,0101111101110110101001100100001101000101101000100110
silla ancho tampoco gustar,1101010011001000011010001011010001001100111100100110
entonces encontrar silla pequeño,0010000011010001000111001111010100110010100001010111
encontrar silla pequeño sentar,0010001110011110101001100101000010101111101110010110
silla pequeño sentar silla,1101010011001010000101011111011100101101101010011001
pequeño sentar silla frágil,0100001010111110111001011011010100110010110101001011
sentar silla frágil romper,1101110010110110101001100101101010010111101101110011
silla frágil romper bajo,1101010011001011010100101111011011100110001101011110
frágil romper bajo peso,0110101001011110110111001100011010111100100000101000
pueblito lejano vivir mamá,1100010001001010100010110011111110110100101010000101
lejano vivir mamá cerdita,0101000101100111111101101001010100001010001000110011
vivir mamá cerdita junto,1111111011010010101000010100010001100110111000001010
mamá cerdita junto tres,0101010000101000100011001101110000010101111011010101
cerdita junto tres cerdito,0001000110011011100000101011110110101010001000110001
feliz día mamá cerdita,0110110110100001001110000001010100001010001000110011
día mamá cerdita decir,0010011100000010101000010100010001100110011100111011
mamá cerdita decir hijito,0101010000101000100011001100111001110110111111111100
cerdita decir hijito tú,0001000110011001110011101101111111111001111010100011
decir hijito tú crecido,0011100111011011111111110011110101000110011111101110
hijito tú crecido tiempo,0111111111100111101010001100111111011101111000011101
tú crecido tiempo cerdito,1111010100011001111110111011110000111010001000110001
crecido tiempo cerdito adulto,0011111101110111100001110100010001100010000011011101
tiempo cerdito adulto vivar,1111000011101000100011000100000110111011111111011101
cerdito adulto vivar mismo,0001000110001000001101110111111110111010101101110100
dejar él ir decir,0011100011110111110111100001110011111110011100111011
él ir decir mundo,1111101111000011100111111100111001110110101100001101
ir decir mundo llegar,0111001111111001110011101101011000011010101001001010
decir mundo llegar fácil,0011100111011010110000110101010010010100110101110110
mundo llegar fácil deber,0101100001101010100100101001101011101100011100100000
llegar fácil deber aprender,0101001001010011010111011000111001000000000101001101
fácil deber aprender trabajar,0110101110110001110010000000001010011011111001011001
deber aprender trabajar lograr,0011100100000000010100110111110010110010101011110110
aprender trabajar lograr sueño,0000101001101111100101100101010111101101101011000111
mamá cerdita despedir besito,0101010000101000100011001100101010010010001111110001
cerdita despedir besito mejillar,0001000110011001010100100100011111100010101111111110
despedir besito mejillar tres,0010101001001000111111000101011111111101111011010101
besito mejillar tres cerdito,0001111110001010111111111011110110101010001000110001
mejillar tres cerdito vivir,0101111111110111101101010100010001100011111111011010
tres cerdito vivir mundo,1111011010101000100011000111111110110100101100001101
cerdito menor perezoso prestar,0001000110001010111101001001000011101001100011011010
menor perezoso prestar atención,0101111010010010000111010011000110110100001100001011
perezoso prestar atención palabra,0100001110100110001101101000011000010110100110000001
prestar atención palabra mamá,1100011011010000110000101101001100000010101010000101
atención palabra mamá cerdita,0001100001011010011000000101010100001010001000110011
palabra mamá cerdita decidir,0100110000001010101000010100010001100110011100111000
mamá cerdita decidir construir,0101010000101000100011001100111001110000011010010110
cerdita decidir construir casita,0001000110011001110011100000110100101100001001111101
decidir construir casita pajar,0011100111000001101001011000010011111010100110000111
construir casita pajar terminar,0011010010110000100111110101001100001111111000001111
casita pajar terminar temprano,0001001111101010011000011111110000011111101000000100
pajar terminar temprano acostar,0100110000111111100000111111010000001000000001011111
terminar temprano acostar él,1111000001111110100000010000000010111111111101111000
temprano acostar él descansar,1101000000100000000101111111111011110000010100100101
cerdito medio medio perezoso,0001000110001010111110100001011111010000100001110100
medio medio perezoso medio,0101111101000010111110100001000011101000101111101000
medio perezoso medio prestar,0101111101000010000111010001011111010001100011011010
perezoso medio prestar atención,0100001110100010111110100011000110110100001100001011
medio prestar atención palabra,0101111101000110001101101000011000010110100110000001
palabra mamá cerdita construir,0100110000001010101000010100010001100110011010010110
mamá cerdita construir casita,0101010000101000100011001100110100101100001001111101
cerdita construir casita palo,0001000110011001101001011000010011111010100010000100
casita quedar chueca medio,0001001111101110011011001000110000001100101111101000
quedar chueca medio perezoso,1100110110010001100000011001011111010000100001110100
chueca medio perezoso querer,0011000000110010111110100001000011101001100110101001
medio perezoso querer leer,0101111101000010000111010011001101010010101000101111
perezoso querer leer instrucción,0100001110100110011010100101010001011110111011000111
querer leer instrucción construir,1100110101001010100010111101110110001110011010010110
leer instrucción construir él,0101000101111011101100011100110100101101111101111000
cerdita mayor aplicado prestar,0001000110011010111010000100001110001001100011011010
mayor aplicado prestar mucho,0101110100001000011100010011000110110100101100011100
aplicado prestar mucho atención,0000111000100110001101101001011000111000001100001011
prestar mucho atención palabra,1100011011010010110001110000011000010110100110000001
mucho atención palabra mamá,0101100011100000110000101101001100000010101010000101
palabra mamá cerdita querer,0100110000001010101000010100010001100111100110101001
mamá cerdita querer construir,0101010000101000100011001111001101010010011010010110
cerdita querer construir casita,0001000110011110011010100100110100101100001001111101
querer construir casita ladrillo,1100110101001001101001011000010011111010101000001011
construcción casito tomar tiempo,0011010010011000100111111111110011001101111000011101
importar nuevo hogar albergar,0111010110010010010101010001111111011110000010010000
