lambda_gram,embedding
érase vez familia oso vivir,10101101100111010100111100010010000001101110110010111010101101000
vez familia oso vivir lindo,10101001111000100100000011011101100101110101011010000110001011110
familia oso vivir lindo casita,01001000000110111011001011101010110100001100010111100001110100000
oso vivir lindo casita bosque,01110110010111010101101000011000101111000011101000000001011000110
papá oso grande mamá ós,01111000011010111011001011010011111000001100111011101010110111101
oso grande mamá ós tamaño,01110110010110100111110000011001110111010101101111011001110111001
grande mamá ós tamaño mediano,01001111100000110011101110101011011110110011101110010110100111110
mamá ós tamaño mediano osito,01100111011101010110111101100111011100101101001111100111011001010
ós tamaño mediano osito pequeño,10101101111011001110111001011010011111001110110010100111110000110
mañana mamá ós servir deliciós,01101001101100110011101110101011011110110010111001110010111110101
mamá ós servir deliciós avén,01100111011101010110111101100101110011100101111101010001001000011
ós servir deliciós avén desayuno,10101101111011001011100111001011111010100010010000110011000100110
servir deliciós avén desayuno demasiado,10010111001110010111110101000100100001100110001001100010111111000
deliciós avén desayuno demasiado caliente,00101111101010001001000011001100010011000101111110000001100101101
avén desayuno demasiado caliente comer,00010010000110011000100110001011111100000011001011010010001100110
desayuno demasiado caliente comer tres,00110001001100010111111000000110010110100100011001101010010010100
demasiado caliente comer tres oso,00101111110000001100101101001000110011010100100101000111011001011
caliente comer tres oso decidir,00011001011010010001100110101001001010001110110010110010111001001
comer tres oso decidir ir,00100011001101010010010100011101100101100101110010010101110100100
tres oso decidir ir pasear,10100100101000111011001011001011100100101011101001000111100101111
oso decidir ir pasear bosque,01110110010110010111001001010111010010001111001011110001011000110
decidir ir pasear bosque mientras,00101110010010101110100100011110010111100010110001100110101111100
ir pasear bosque mientras enfriar,01011101001000111100101111000101100011001101011111000011110110001
cabo minuto niña llamado ricito,00011000101100110110001100011100011100101100011001101001000110000
minuto niña llamado ricito oro,01101100011000111000111001011000110011010010001100000111011000011
niña llamado ricito oro llegar,01110001110010110001100110100100011000001110110000110110001110001
llamado ricito oro llegar casa,01100011001101001000110000011101100001101100011100010001110010111
ricito oro llegar casa oso,10010001100000111011000011011000111000100011100101110111011001011
oro llegar casa oso tocar,01110110000110110001110001000111001011101110110010111010000110101
llegar casa oso tocar puerta,01100011100010001110010111011101100101110100001101011000011100110
