word,binary
10,0000000000000000
100,0000000000000001
1960,0000000000000010
2,0000000000000011
20,0000000000000100
25,0000000000000101
27,0000000000000110
2875,0000000000000111
3,0000000000001000
30,0000000000001001
40,0000000000010000
5,0000000000010001
50,0000000000010010
500,0000000000010011
52,0000000000010100
6,0000000000010101
7,0000000000010110
8,0000000000010111
857,0000000000011000
87,0000000000011001
a,0000000000100000
abajo,0000000000100001
abalanzar,0000000000100010
abandonado,0000000000100011
abandonar,0000000000100100
abandonarar,0000000000100101
abanicar,0000000000100110
abanico,0000000000100111
abarrotado,0000000000101000
abastecer,0000000000101001
abeja,0000000000110000
aber,0000000000110001
abierto,0000000000110010
ablandacer,0000000000110011
abra,0000000000110100
abracadabra,0000000000110101
abrasador,0000000000110110
abrasar,0000000000110111
abrazado,0000000000111000
abrazar,0000000000111001
abrazo,0000000001000000
abrigo,0000000001000001
abrir,0000000001000010
abrirla,0000000001000011
abrumar,0000000001000100
absorber,0000000001000101
abuela,0000000001000110
abuelet,0000000001000111
abuelita,0000000001001000
abuelitadijo,0000000001001001
abuelitir,0000000001010000
abuelito,0000000001010001
abuelo,0000000001010010
abuelos,0000000001010011
abultado,0000000001010100
abundante,0000000001010101
abundantemente,0000000001010110
aburrido,0000000001010111
aburrimiento,0000000001011000
aburrir,0000000001011001
abusar,0000000001100000
abuso,0000000001100001
abusón,0000000001100010
acabado,0000000001100011
acabar,0000000001100100
acabas,0000000001100101
acalorado,0000000001100110
acantilado,0000000001100111
acariciar,0000000001101000
acaso,0000000001101001
acaudalado,0000000001110000
acceder,0000000001110001
acceso,0000000001110010
accidentado,0000000001110011
accidente,0000000001110100
acción,0000000001110101
acecho,0000000001110110
acelerar,0000000001110111
aceptar,0000000001111000
acepto,0000000001111001
acera,0000000010000000
acerca,0000000010000001
acercar,0000000010000010
acercarar,0000000010000011
acercarte,0000000010000100
acercársel,0000000010000101
acercó,0000000010000110
acero,0000000010000111
acerque,0000000010001000
acertar,0000000010001001
acierto,0000000010010000
aclamación,0000000010010001
aclamar,0000000010010010
acogedoro,0000000010010011
acoger,0000000010010100
acogerlo,0000000010010101
acogido,0000000010010110
acompañado,0000000010010111
acompañar,0000000010011000
acompañarte,0000000010011001
aconsejar,0000000100000000
aconsejo,0000000100000001
acontecimiento,0000000100000010
acordado,0000000100000011
acordar,0000000100000100
acostado,0000000100000101
acostar,0000000100000110
acostumbrado,0000000100000111
acostumbrar,0000000100001000
actitud,0000000100001001
actividad,0000000100010000
acto,0000000100010001
actuar,0000000100010010
actuase,0000000100010011
acud,0000000100010100
acudido,0000000100010101
acudient,0000000100010110
acudir,0000000100010111
acuerdo,0000000100011000
acumular,0000000100011001
acá,0000000100100000
acércate,0000000100100001
adaptar,0000000100100010
adecuado,0000000100100011
adelantar,0000000100100100
adelante,0000000100100101
adelgazado,0000000100100110
adelgazar,0000000100100111
además,0000000100101000
adentrar,0000000100101001
adentro,0000000100110000
adivináis,0000000100110001
adiós,0000000100110010
admiración,0000000100110011
admirado,0000000100110100
admirador,0000000100110101
admiradísimo,0000000100110110
admirar,0000000100110111
