word,binary
10,0000000000000
100,0000000000001
1960,0000000000010
2,0000000000011
20,0000000000100
25,0000000000101
27,0000000000110
2875,0000000000111
3,0000000001000
30,0000000001001
40,0000000001010
5,0000000001011
50,0000000001100
500,0000000001101
52,0000000001110
6,0000000001111
7,0000000010000
8,0000000010001
857,0000000010010
87,0000000010011
a,0000000010100
abajo,0000000010101
abalanzar,0000000010110
abandonado,0000000010111
abandonar,0000000011000
abandonarar,0000000011001
abanicar,0000000011010
abanico,0000000011011
abarrotado,0000000011100
abastecer,0000000011101
abeja,0000000011110
aber,0000000011111
abierto,0000000100000
ablandacer,0000000100001
abra,0000000100010
abracadabra,0000000100011
abrasador,0000000100100
abrasar,0000000100101
abrazado,0000000100110
abrazar,0000000100111
abrazo,0000000101000
abrigo,0000000101001
abrir,0000000101010
abrirla,0000000101011
abrumar,0000000101100
absorber,0000000101101
abuela,0000000101110
abuelet,0000000101111
abuelita,0000000110000
abuelitadijo,0000000110001
abuelitir,0000000110010
abuelito,0000000110011
abuelo,0000000110100
abuelos,0000000110101
abultado,0000000110110
abundante,0000000110111
abundantemente,0000000111000
aburrido,0000000111001
aburrimiento,0000000111010
aburrir,0000000111011
abusar,0000000111100
abuso,0000000111101
abusón,0000000111110
acabado,0000000111111
acabar,0000001000000
acabas,0000001000001
acalorado,0000001000010
acantilado,0000001000011
acariciar,0000001000100
acaso,0000001000101
acaudalado,0000001000110
acceder,0000001000111
acceso,0000001001000
accidentado,0000001001001
accidente,0000001001010
acción,0000001001011
acecho,0000001001100
acelerar,0000001001101
aceptar,0000001001110
acepto,0000001001111
acera,0000001010000
acerca,0000001010001
acercar,0000001010010
acercarar,0000001010011
acercarte,0000001010100
acercársel,0000001010101
acercó,0000001010110
acero,0000001010111
acerque,0000001011000
acertar,0000001011001
acierto,0000001011010
aclamación,0000001011011
aclamar,0000001011100
acogedoro,0000001011101
acoger,0000001011110
acogerlo,0000001011111
acogido,0000001100000
acompañado,0000001100001
acompañar,0000001100010
acompañarte,0000001100011
aconsejar,0000001100100
aconsejo,0000001100101
acontecimiento,0000001100110
acordado,0000001100111
acordar,0000001101000
acostado,0000001101001
acostar,0000001101010
acostumbrado,0000001101011
acostumbrar,0000001101100
actitud,0000001101101
actividad,0000001101110
acto,0000001101111
actuar,0000001110000
actuase,0000001110001
acud,0000001110010
acudido,0000001110011
acudient,0000001110100
acudir,0000001110101
acuerdo,0000001110110
acumular,0000001110111
acá,0000001111000
acércate,0000001111001
adaptar,0000001111010
adecuado,0000001111011
adelantar,0000001111100
adelante,0000001111101
adelgazado,0000001111110
adelgazar,0000001111111
además,0000010000000
adentrar,0000010000001
adentro,0000010000010
adivináis,0000010000011
adiós,0000010000100
admiración,0000010000101
admirado,0000010000110
admirador,0000010000111
admiradísimo,0000010001000
admirar,0000010001001
admitir,0000010001010
adnadnal,0000010001011
adolorido,0000010001100
adoptar,0000010001101
adorabl,0000010001110
adorable,0000010001111
adorar,0000010010000
adormilado,0000010010001
adornar,0000010010010
adoro,0000010010011
adrián,0000010010100
adular,0000010010101
adulto,0000010010110
adversidad,0000010010111
advertido,0000010011000
advertir,0000010011001
adónde,0000010011010
afectar,0000010011011
aferrar,0000010011100
afilado,0000010011101
afilar,0000010011110
afirmar,0000010011111
afligeír,0000010100000
aflojó,0000010100001
afortunadamente,0000010100010
afortunado,0000010100011
africano,0000010100100
afroditar,0000010100101
afuera,0000010100110
afuero,0000010100111
agachar,0000010101000
agalla,0000010101001
agarrado,0000010101010
agarrar,0000010101011
agarrándolo,0000010101100
agitar,0000010101101
agobiado,0000010101110
agolpar,0000010101111
agotado,0000010110000
agotar,0000010110001
agraciado,0000010110010
agradable,0000010110011
agradar,0000010110100
agradecer,0000010110101
agradecido,0000010110110
agrado,0000010110111
agranda,0000010111000
agregar,0000010111001
agresor,0000010111010
agreír,0000010111011
agrietado,0000010111100
agrio,0000010111101
agua,0000010111110
aguantar,0000010111111
aguante,0000011000000
aguardar,0000011000001
agudo,0000011000010
aguerrido,0000011000011
aguja,0000011000100
agujero,0000011000101
aguo,0000011000110
ah,0000011000111
ahogado,0000011001000
ahogar,0000011001001
ahora,0000011001010
ahoritar,0000011001011
ahorrado,0000011001100
ahorrar,0000011001101
ahuyentar,0000011001110
ahuyento,0000011001111
ahí,0000011010000
air,0000011010001
aire,0000011010010
aires,0000011010011
airoso,0000011010100
aislado,0000011010101
ajajá,0000011010110
ajeno,0000011010111
ajetreo,0000011011000
ajá,0000011011001
ala,0000011011010
alacena,0000011011011
alar,0000011011100
alardes,0000011011101
alarmado,0000011011110
alarmante,0000011011111
albergar,0000011100000
albert,0000011100001
albertina,0000011100010
albertinar,0000011100011
albertín,0000011100100
alboroto,0000011100101
alcalde,0000011100110
alcance,0000011100111
alcanzar,0000011101000
alcanzarer,0000011101001
aldea,0000011101010
aldeano,0000011101011
aldeanos,0000011101100
aldear,0000011101101
alegr,0000011101110
alegra,0000011101111
alegrar,0000011110000
alegre,0000011110001
alegremente,0000011110010
alegría,0000011110011
alejado,0000011110100
alejar,0000011110101
alejir,0000011110110
alemania,0000011110111
alergia,0000011111000
alertar,0000011111001
aletar,0000011111010
algodón,0000011111011
alguien,0000011111100
alguno,0000011111101
alicia,0000011111110
aliciar,0000011111111
alicio,0000100000000
aliento,0000100000001
alimentar,0000100000010
alimento,0000100000011
alina,0000100000100
aliviado,0000100000101
aliviadísimo,0000100000110
allá,0000100000111
allí,0000100001000
alma,0000100001001
almacenar,0000100001010
almacén,0000100001011
almohado,0000100001100
almorzar,0000100001101
almuerzo,0000100001110
alojara,0000100001111
alrededor,0000100010000
alsacia,0000100010001
altavoz,0000100010010
alternar,0000100010011
alto,0000100010100
altura,0000100010101
alucinado,0000100010110
alumbrar,0000100010111
alumno,0000100011000
alzar,0000100011001
alín,0000100011010
amab,0000100011011
amabilidad,0000100011100
amable,0000100011101
amado,0000100011110
amam,0000100011111
amanecer,0000100100000
amar,0000100100001
amargo,0000100100010
amarillenta,0000100100011
amarillo,0000100100100
amasar,0000100100101
ambición,0000100100110
ambos,0000100100111
amenacer,0000100101000
amenaza,0000100101001
amenazante,0000100101010
amenazar,0000100101011
amiga,0000100101100
amigable,0000100101101
amigo,0000100101110
amigos,0000100101111
amiguito,0000100110000
amistad,0000100110001
amistoso,0000100110010
amo,0000100110011
amontonado,0000100110100
amontonar,0000100110101
amor,0000100110110
amuleto,0000100110111
américa,0000100111000
amígdala,0000100111001
ana,0000100111010
anansi,0000100111011
ancho,0000100111100
anciana,0000100111101
anciano,0000100111110
anda,0000100111111
andar,0000101000000
andrea,0000101000001
andreo,0000101000010
anfitrión,0000101000011
angelito,0000101000100
angelitos,0000101000101
angry,0000101000110
angustiado,0000101000111
anhelado,0000101001000
anhelar,0000101001001
anhelo,0000101001010
anillo,0000101001011
animal,0000101001100
animalillo,0000101001101
animalito,0000101001110
animar,0000101001111
anoche,0000101010000
anochezca,0000101010001
ansia,0000101010010
ansiosamente,0000101010011
ansioso,0000101010100
antepasado,0000101010101
anterior,0000101010110
antiem,0000101010111
antigua,0000101011000
antiguo,0000101011001
antipático,0000101011010
antiverdura,0000101011011
antídoto,0000101011100
anular,0000101011101
anunciar,0000101011110
anunciarl,0000101011111
anuncio,0000101100000
apagado,0000101100001
apagar,0000101100010
aparato,0000101100011
aparecer,0000101100100
aparecido,0000101100101
apariencia,0000101100110
apartado,0000101100111
apartar,0000101101000
apartarno,0000101101001
apasionante,0000101101010
apelar,0000101101011
apellido,0000101101100
apenado,0000101101101
apenar,0000101101110
apenas,0000101101111
apetecer,0000101110000
apetito,0000101110001
apetitoso,0000101110010
apiadar,0000101110011
