word,index
10,0
100,1
1960,2
2,3
20,4
25,5
27,6
2875,7
3,8
30,9
40,10
5,11
50,12
500,13
52,14
6,15
7,16
8,17
857,18
87,19
a,20
abajo,21
abalanzar,22
abandonado,23
abandonar,24
abandonarar,25
abanicar,26
abanico,27
abarrotado,28
abastecer,29
abeja,30
aber,31
abierto,32
ablandacer,33
abra,34
abracadabra,35
abrasador,36
abrasar,37
abrazado,38
abrazar,39
abrazo,40
abrigo,41
abrir,42
abrirla,43
abrumar,44
absorber,45
abuela,46
abuelet,47
abuelita,48
abuelitadijo,49
abuelitir,50
abuelito,51
abuelo,52
abuelos,53
abultado,54
abundante,55
abundantemente,56
aburrido,57
aburrimiento,58
aburrir,59
abusar,60
abuso,61
abusón,62
acabado,63
acabar,64
acabas,65
acalorado,66
acantilado,67
acariciar,68
acaso,69
acaudalado,70
acceder,71
acceso,72
accidentado,73
accidente,74
acción,75
acecho,76
acelerar,77
aceptar,78
acepto,79
acera,80
acerca,81
acercar,82
acercarar,83
acercarte,84
acercársel,85
acercó,86
acero,87
acerque,88
acertar,89
acierto,90
aclamación,91
aclamar,92
acogedoro,93
acoger,94
acogerlo,95
acogido,96
acompañado,97
acompañar,98
acompañarte,99
aconsejar,100
aconsejo,101
acontecimiento,102
acordado,103
acordar,104
acostado,105
acostar,106
acostumbrado,107
acostumbrar,108
actitud,109
actividad,110
acto,111
actuar,112
actuase,113
acud,114
acudido,115
acudient,116
acudir,117
acuerdo,118
acumular,119
acá,120
acércate,121
adaptar,122
adecuado,123
adelantar,124
adelante,125
adelgazado,126
adelgazar,127
además,128
adentrar,129
adentro,130
adivináis,131
adiós,132
admiración,133
admirado,134
admirador,135
admiradísimo,136
admirar,137
admitir,138
adnadnal,139
adolorido,140
adoptar,141
adorabl,142
adorable,143
adorar,144
adormilado,145
adornar,146
adoro,147
adrián,148
adular,149
adulto,150
adversidad,151
advertido,152
advertir,153
adónde,154
afectar,155
aferrar,156
afilado,157
afilar,158
afirmar,159
afligeír,160
aflojó,161
afortunadamente,162
afortunado,163
africano,164
afroditar,165
afuera,166
afuero,167
agachar,168
agalla,169
agarrado,170
agarrar,171
agarrándolo,172
agitar,173
agobiado,174
agolpar,175
agotado,176
agotar,177
agraciado,178
agradable,179
agradar,180
agradecer,181
agradecido,182
agrado,183
agranda,184
agregar,185
agresor,186
agreír,187
agrietado,188
agrio,189
agua,190
aguantar,191
aguante,192
aguardar,193
agudo,194
aguerrido,195
aguja,196
agujero,197
aguo,198
ah,199
ahogado,200
ahogar,201
ahora,202
ahoritar,203
ahorrado,204
ahorrar,205
ahuyentar,206
ahuyento,207
ahí,208
air,209
aire,210
aires,211
airoso,212
aislado,213
ajajá,214
ajeno,215
ajetreo,216
ajá,217
ala,218
alacena,219
alar,220
alardes,221
alarmado,222
alarmante,223
albergar,224
albert,225
albertina,226
albertinar,227
albertín,228
alboroto,229
alcalde,230
alcance,231
alcanzar,232
alcanzarer,233
aldea,234
aldeano,235
aldeanos,236
aldear,237
alegr,238
alegra,239
alegrar,240
alegre,241
alegremente,242
alegría,243
alejado,244
alejar,245
alejir,246
alemania,247
alergia,248
alertar,249
aletar,250
algodón,251
alguien,252
alguno,253
alicia,254
aliciar,255
alicio,256
aliento,257
alimentar,258
alimento,259
alina,260
aliviado,261
aliviadísimo,262
allá,263
allí,264
alma,265
almacenar,266
almacén,267
almohado,268
almorzar,269
almuerzo,270
alojara,271
alrededor,272
alsacia,273
altavoz,274
alternar,275
alto,276
altura,277
alucinado,278
alumbrar,279
alumno,280
alzar,281
alín,282
amab,283
amabilidad,284
amable,285
amado,286
amam,287
amanecer,288
amar,289
amargo,290
amarillenta,291
amarillo,292
amasar,293
ambición,294
ambos,295
amenacer,296
amenaza,297
amenazante,298
amenazar,299
amiga,300
amigable,301
amigo,302
amigos,303
amiguito,304
amistad,305
amistoso,306
amo,307
amontonado,308
amontonar,309
amor,310
amuleto,311
américa,312
amígdala,313
ana,314
anansi,315
ancho,316
anciana,317
anciano,318
anda,319
andar,320
andrea,321
andreo,322
anfitrión,323
angelito,324
angelitos,325
angry,326
angustiado,327
anhelado,328
anhelar,329
anhelo,330
anillo,331
animal,332
animalillo,333
animalito,334
animar,335
anoche,336
anochezca,337
ansia,338
ansiosamente,339
ansioso,340
antepasado,341
anterior,342
antiem,343
antigua,344
antiguo,345
antipático,346
antiverdura,347
antídoto,348
anular,349
anunciar,350
anunciarl,351
anuncio,352
apagado,353
apagar,354
aparato,355
aparecer,356
aparecido,357
apariencia,358
apartado,359
apartar,360
apartarno,361
apasionante,362
apelar,363
apellido,364
apenado,365
apenar,366
apenas,367
apetecer,368
apetito,369
apetitoso,370
apiadar,371
aplastar,372
aplaudir,373
aplauso,374
aplazar,375
aplicado,376
aplicar,377
aplicarl,378
apo,379
apoderado,380
apoderar,381
apodo,382
apolo,383
aporrear,384
apoyar,385
apoyo,386
apoyémono,387
apps,388
apreciado,389
apreciar,390
aprecio,391
aprend,392
aprender,393
aprenderás,394
aprendido,395
aprendiz,396
aprendí,397
apresado,398
apresuradamente,399
apresurado,400
apretado,401
apretar,402
aprovechar,403
apto,404
apuesto,405
apuntado,406
apuntar,407
apunto,408
apurada,409
apuro,410
apártense,411
apúratar,412
aquel,413
aquí,414
ar,415
arar,416
araña,417
arañar,418
araño,419
arbolito,420
arbusto,421
arcoiris,422
arcoíris,423
arcángel,424
arder,425
ardiente,426
ardilla,427
arena,428
arenoso,429
aret,430
argumentar,431
arma,432
armadillo,433
armadura,434
armar,435
armario,436
armatoste,437
armiño,438
aro,439
aroma,440
aromas,441
arpa,442
arquear,443
arrancar,444
arrancarla,445
arrasar,446
arrastrar,447
arre,448
arrear,449
arrebatárselo,450
arrebatártelo,451
arrecif,452
arreglar,453
arregle,454
arreglo,455
arrepentido,456
arrepiente,457
arriba,458
arriesgado,459
arrodillar,460
arrogante,461
arrojar,462
arrojándolo,463
arroyo,464
arrrrg,465
arruga,466
arrugado,467
art,468
arte,469
artilugio,470
artimaña,471
artista,472
artístico,473
asalto,474
asegurar,475
asegurarno,476
asegurarnos,477
aseguro,478
asegúratir,479
asemejar,480
asesino,481
asibikaashi,482
asigna,483
asinteír,484
asistente,485
asistido,486
asistir,487
asno,488
asomar,489
asombrado,490
asombro,491
asombroso,492
asopao,493
aspecto,494
aspirador,495
aspirante,496
aspirar,497
astucia,498
astuta,499
astuto,500
asunto,501
asusta,502
asustado,503
asustar,504
asuste,505
asusto,506
así,507
atacada,508
atacado,509
atacante,510
atacar,511
atacarno,512
atado,513
atajo,514
ataque,515
ataquen,516
atar,517
atardecer,518
atareado,519
ataré,520
atascado,521
atascó,522
ataúd,523
atenas,524
atención,525
atender,526
ateneo,527
atentamente,528
ater,529
atermorizar,530
aterrado,531
aterrador,532
aterradora,533
aterrar,534
aterrizar,535
aterrorizado,536
aterrorizar,537
atizar,538
atorar,539
atraer,540
atrajerar,541
atrapa,542
atrapada,543
atrapado,544
atrapar,545
atraparte,546
atrapándolo,547
atravesar,548
atraído,549
atrev,550
atreve,551
atreveer,552
atrever,553
atreverir,554
atreveír,555
atrevir,556
atrevser,557
atrás,558
aturdido,559
até,560
ató,561
atónito,562
audiencia,563
aullar,564
aullido,565
aumentar,566
aun,567
aunque,568
ausencio,569
auto,570
autoestima,571
automáticamente,572
auténtico,573
auxiliar,574
auxilio,575
avanzadísimo,576
avanzar,577
ave,578
aventura,579
aventurar,580
avergonzado,581
averiado,582
averiguar,583
avisa,584
avisar,585
aviso,586
avispa,587
avén,588
ay,589
ayer,590
ayuda,591
ayudado,592
ayudant,593
ayudante,594
ayudar,595
ayudara,596
ayudarme,597
ayudarno,598
