word,binary
10,0000000000000
100,0000000000001
1960,0000000000011
2,0000000000010
20,0000000000110
25,0000000000111
27,0000000000101
2875,0000000000100
3,0000000001100
30,0000000001101
40,0000000001111
5,0000000001110
50,0000000001010
500,0000000001011
52,0000000001001
6,0000000001000
7,0000000011000
8,0000000011001
857,0000000011011
87,0000000011010
a,0000000011110
abajo,0000000011111
abalanzar,0000000011101
abandonado,0000000011100
abandonar,0000000010100
abandonarar,0000000010101
abanicar,0000000010111
abanico,0000000010110
abarrotado,0000000010010
abastecer,0000000010011
abeja,0000000010001
aber,0000000010000
abierto,0000000110000
ablandacer,0000000110001
abra,0000000110011
abracadabra,0000000110010
abrasador,0000000110110
abrasar,0000000110111
abrazado,0000000110101
abrazar,0000000110100
abrazo,0000000111100
abrigo,0000000111101
abrir,0000000111111
abrirla,0000000111110
abrumar,0000000111010
absorber,0000000111011
abuela,0000000111001
abuelet,0000000111000
abuelita,0000000101000
abuelitadijo,0000000101001
abuelitir,0000000101011
abuelito,0000000101010
abuelo,0000000101110
abuelos,0000000101111
abultado,0000000101101
abundante,0000000101100
abundantemente,0000000100100
aburrido,0000000100101
aburrimiento,0000000100111
aburrir,0000000100110
abusar,0000000100010
abuso,0000000100011
abusón,0000000100001
acabado,0000000100000
acabar,0000001100000
acabas,0000001100001
acalorado,0000001100011
acantilado,0000001100010
acariciar,0000001100110
acaso,0000001100111
acaudalado,0000001100101
acceder,0000001100100
acceso,0000001101100
accidentado,0000001101101
accidente,0000001101111
acción,0000001101110
acecho,0000001101010
acelerar,0000001101011
aceptar,0000001101001
acepto,0000001101000
acera,0000001111000
acerca,0000001111001
acercar,0000001111011
acercarar,0000001111010
acercarte,0000001111110
acercársel,0000001111111
acercó,0000001111101
acero,0000001111100
acerque,0000001110100
acertar,0000001110101
acierto,0000001110111
aclamación,0000001110110
aclamar,0000001110010
acogedoro,0000001110011
acoger,0000001110001
acogerlo,0000001110000
acogido,0000001010000
acompañado,0000001010001
acompañar,0000001010011
acompañarte,0000001010010
aconsejar,0000001010110
aconsejo,0000001010111
acontecimiento,0000001010101
acordado,0000001010100
acordar,0000001011100
acostado,0000001011101
acostar,0000001011111
acostumbrado,0000001011110
acostumbrar,0000001011010
actitud,0000001011011
actividad,0000001011001
acto,0000001011000
actuar,0000001001000
actuase,0000001001001
acud,0000001001011
acudido,0000001001010
acudient,0000001001110
acudir,0000001001111
acuerdo,0000001001101
acumular,0000001001100
acá,0000001000100
acércate,0000001000101
adaptar,0000001000111
adecuado,0000001000110
adelantar,0000001000010
adelante,0000001000011
adelgazado,0000001000001
adelgazar,0000001000000
además,0000011000000
adentrar,0000011000001
adentro,0000011000011
adivináis,0000011000010
adiós,0000011000110
admiración,0000011000111
admirado,0000011000101
admirador,0000011000100
admiradísimo,0000011001100
admirar,0000011001101
admitir,0000011001111
adnadnal,0000011001110
adolorido,0000011001010
adoptar,0000011001011
adorabl,0000011001001
adorable,0000011001000
adorar,0000011011000
adormilado,0000011011001
adornar,0000011011011
adoro,0000011011010
adrián,0000011011110
adular,0000011011111
adulto,0000011011101
adversidad,0000011011100
advertido,0000011010100
advertir,0000011010101
adónde,0000011010111
afectar,0000011010110
aferrar,0000011010010
afilado,0000011010011
afilar,0000011010001
afirmar,0000011010000
afligeír,0000011110000
aflojó,0000011110001
afortunadamente,0000011110011
afortunado,0000011110010
africano,0000011110110
afroditar,0000011110111
afuera,0000011110101
afuero,0000011110100
agachar,0000011111100
agalla,0000011111101
agarrado,0000011111111
agarrar,0000011111110
agarrándolo,0000011111010
agitar,0000011111011
agobiado,0000011111001
agolpar,0000011111000
agotado,0000011101000
agotar,0000011101001
agraciado,0000011101011
agradable,0000011101010
agradar,0000011101110
agradecer,0000011101111
agradecido,0000011101101
agrado,0000011101100
agranda,0000011100100
agregar,0000011100101
agresor,0000011100111
agreír,0000011100110
agrietado,0000011100010
agrio,0000011100011
agua,0000011100001
aguantar,0000011100000
aguante,0000010100000
aguardar,0000010100001
agudo,0000010100011
aguerrido,0000010100010
aguja,0000010100110
agujero,0000010100111
aguo,0000010100101
ah,0000010100100
ahogado,0000010101100
ahogar,0000010101101
ahora,0000010101111
ahoritar,0000010101110
ahorrado,0000010101010
ahorrar,0000010101011
ahuyentar,0000010101001
ahuyento,0000010101000
ahí,0000010111000
air,0000010111001
aire,0000010111011
aires,0000010111010
airoso,0000010111110
aislado,0000010111111
ajajá,0000010111101
ajeno,0000010111100
ajetreo,0000010110100
ajá,0000010110101
ala,0000010110111
alacena,0000010110110
alar,0000010110010
alardes,0000010110011
alarmado,0000010110001
alarmante,0000010110000
albergar,0000010010000
albert,0000010010001
albertina,0000010010011
albertinar,0000010010010
albertín,0000010010110
alboroto,0000010010111
alcalde,0000010010101
alcance,0000010010100
alcanzar,0000010011100
alcanzarer,0000010011101
aldea,0000010011111
aldeano,0000010011110
aldeanos,0000010011010
aldear,0000010011011
alegr,0000010011001
alegra,0000010011000
alegrar,0000010001000
alegre,0000010001001
alegremente,0000010001011
alegría,0000010001010
alejado,0000010001110
alejar,0000010001111
alejir,0000010001101
alemania,0000010001100
alergia,0000010000100
alertar,0000010000101
aletar,0000010000111
algodón,0000010000110
alguien,0000010000010
alguno,0000010000011
alicia,0000010000001
aliciar,0000010000000
alicio,0000110000000
aliento,0000110000001
alimentar,0000110000011
alimento,0000110000010
alina,0000110000110
aliviado,0000110000111
aliviadísimo,0000110000101
allá,0000110000100
allí,0000110001100
alma,0000110001101
almacenar,0000110001111
almacén,0000110001110
almohado,0000110001010
almorzar,0000110001011
almuerzo,0000110001001
alojara,0000110001000
alrededor,0000110011000
alsacia,0000110011001
altavoz,0000110011011
alternar,0000110011010
alto,0000110011110
altura,0000110011111
alucinado,0000110011101
alumbrar,0000110011100
alumno,0000110010100
alzar,0000110010101
alín,0000110010111
amab,0000110010110
amabilidad,0000110010010
amable,0000110010011
amado,0000110010001
amam,0000110010000
amanecer,0000110110000
amar,0000110110001
amargo,0000110110011
amarillenta,0000110110010
amarillo,0000110110110
amasar,0000110110111
ambición,0000110110101
ambos,0000110110100
amenacer,0000110111100
amenaza,0000110111101
amenazante,0000110111111
amenazar,0000110111110
amiga,0000110111010
amigable,0000110111011
amigo,0000110111001
amigos,0000110111000
amiguito,0000110101000
amistad,0000110101001
amistoso,0000110101011
amo,0000110101010
amontonado,0000110101110
amontonar,0000110101111
amor,0000110101101
amuleto,0000110101100
américa,0000110100100
amígdala,0000110100101
ana,0000110100111
anansi,0000110100110
ancho,0000110100010
anciana,0000110100011
anciano,0000110100001
anda,0000110100000
andar,0000111100000
andrea,0000111100001
andreo,0000111100011
anfitrión,0000111100010
angelito,0000111100110
angelitos,0000111100111
angry,0000111100101
angustiado,0000111100100
anhelado,0000111101100
anhelar,0000111101101
anhelo,0000111101111
anillo,0000111101110
animal,0000111101010
animalillo,0000111101011
animalito,0000111101001
animar,0000111101000
anoche,0000111111000
anochezca,0000111111001
ansia,0000111111011
ansiosamente,0000111111010
ansioso,0000111111110
antepasado,0000111111111
anterior,0000111111101
antiem,0000111111100
antigua,0000111110100
antiguo,0000111110101
antipático,0000111110111
antiverdura,0000111110110
antídoto,0000111110010
anular,0000111110011
anunciar,0000111110001
anunciarl,0000111110000
anuncio,0000111010000
apagado,0000111010001
apagar,0000111010011
aparato,0000111010010
aparecer,0000111010110
aparecido,0000111010111
apariencia,0000111010101
apartado,0000111010100
apartar,0000111011100
apartarno,0000111011101
apasionante,0000111011111
apelar,0000111011110
apellido,0000111011010
apenado,0000111011011
apenar,0000111011001
apenas,0000111011000
apetecer,0000111001000
apetito,0000111001001
apetitoso,0000111001011
apiadar,0000111001010
