poder complacer duendir pues
cuanto saber cuál parte
abuela encontrar raíz asemejar
vencer miedo ratón así
cuidaron limpiar reservar él
voz espectral decir gema
empeñado importante hado ser
atacar león picándolo nariz
poco día varitar regalar
petición montón ángel nivel
gritar furioso tono burlar
dañar seriamente embarcación hacer
dos vecino terminar ser
todo pintada blanco cruzar
sol arrojar acogedoro sombra
llenándolo felicidad apagar él
dar importancia esperar ilusión
cerrar ojo quedar flotar
casilla ficha negro recordar
comadreja negar afirmar día
médico mamá así médico
deber atravesar camino largo
poquito tiempo aún acostumbrado
dejar confiar juan mamá
correr cuevo montaña llegar
libro gruñeron papá mamá
dormido quedar él quieto
estrellar camión tapiar lanzar
pequeño oído sordo apartar
gracios padre habérselo regalado
él salir correr esconder
rata pasar tiempo estudiar
caperucita rojo poner él
permiso primero humano aceptar
hacer varios noche apenas
cabo uno hora señor
él golpe destrozo dueño
aquel día pablito aprovechar
averiguar dónde escond tesoro
conocer leyenda chocolate dorado
crecer convertir él hermosa
leer comprendió verdad solo
entrar aquí abuela llame
siguiente extender entusiasmo niño
sabio encontrar nuevo razón
cada noche comenzar temprano
grande espanto leñador decir
importante preparar enorme caravana
doña melba alejar confundido
decir escúchame bien quédatir
conseguir aguantar gritar llorar
siempre ver cigarra descansar
pastel horneado dentro plancho
sentir orgulloso tener hijo
enorme problema higienir hundir
pensar poder ganar él
profecía saber obsesión dinero
vez joven lechero caminar
vez anansi intentar engañar
él explotar mil pedazo
crear escuela rana salir
caminar hacia araña zapato
tontín despreciado burlado dejado
papás sumar aquel moda
si solo figurito mal
montaña oreja diente patas
pastorcito regresar aldea decir
caballo pez descubrimiento interesante
lugar cara mostrar enfado
maldad hacer volar espejo
niño preguntar cinta responder
prueba paciente él mismo
largo difícil nombre árbol
terrible dragón enfrente decir
poder ofrecer él comida
halloweir ver través ventana
niño contagiado correr tras
vez picador piedra vivir
además amigo pequeñajo empezar
tener él alcance mano
camello cerdo emprender viaje
pagar deuda vivirer tranquilo
tanto alto mango pequeño
hecho aire alimentar así
engañado oportunidad tigre astuto
dio decidir encargar él
finalmente montón hierro poder
besar él todo hora
vencedor quedar casilla multicolor
correr correr rápido nunca
prisa dar él noticia
emperador chino hacer gran
si fragmento alcanzar ojo
cuenta ser coincidencia si
letra volar hacia manu
capitán marinero salir volar
llenar corazón tanto pequeño
entonces dar cuenta sentir
él decir preocupe señor
ver semejante espectáculo reír
pececillo gentil simpático ofrecer
melodía vez guitarro cantar
cada noche durmierar visitar
correr allá acá despedir
impulso saltar todo fuerza
bolo rodar hacia estanque
solo sentir paso hormigo
añico timón rasgar vela
inteligente allí atrajerar revoltoso
hacer pequeño débil volver
elevar aire caer cubierto
mutuamente cada vez exageradamente
