mercader camino regreso atravesar
dédalo ícaro alguien talento
así tenia hacer siempre
astuta araña engañado oportunidad
solo noche acercar hombre
mientras escabullía ventán cocín
nunca nadie rechazado magnífico
norte rey erico viejo
alzar brazo cielir gritar
jugada muchísimo vez cambiar
si fragmento alcanzar ojo
felicitar satisfecho orgulloso mismo
crédito ojos tortugar cruzar
ilusionado buscar forma pasar
tanto desordenado encontrar después
lengua oreja uno criticar
mokoko saber imprudencia insensatez
yo rey selva decidí
regla deber hacer amable
mientras sueño buen pasar
pinzasloca terror pulgar cangrejo
importante preparar carro rico
soltar retroceder ocultar él
visitante aquel mágico biblioteca
solo pedir princesa permitir
sueños arcoiris mar musical
pasar unió grupo traer
él hablar pececillo ser
locomo pajarillo cantarín regordetar
cerca poder ver él
osaka decir ranita kioto
llegar cielo poder volar
taira perro pasar prácticamente
parado junto muro poder
surgir rayo romper cadena
mar isla mil desierto
todo hoja completamente blanco
montaña través bosque encontrar
abierto luna obligado nuevo
muro recordar hermoso jardín
desplazar él tierra mar
haber extraer hueso exigir
bebérselo así volver él
luego papá don cayo
india oriental ámsterdam propósito
dormir elso miró través
mal bien cada año
él decir preocupe señor
simpatir aquel animal fácilmente
tanto herido cansado poder
vez goldi princesa perfecto
transporte mascota mejor amigo
llegar ser mejor juego
vez ratoncito ver alguno
además ser angelito encantador
bonito quier casar yo
según subía tono amenaza
áspero rara vez palabra
distancia seguro cueva preguntar
volcán descubrir pueblo necesitar
señor dado proponer partida
oreja diente pata vestir
fuerte ahogar cantar pequeño
pequeño bola dorado posesión
melba poder resistir curiosidad
solo ir rápido poder
entonces pata pequeñitar pinzasloca
pantalla espeluznante rostro máscar
responder desear ser conceder
increíble colección invento llegar
claro mamá responder juan
cada guardo recuerdo aprendí
ser enemiga todo ave
dejarnos casita dormir niño
cada vez lanzar ruleta
conversación añadir lugar hecho
comenzar quejar él suerte
regalo siempre ocupado entendido
sólo obtener premio concurso
ser magnífico pastor borracho
araña músico lobos aullar
asegurar almuerzo esfuerzo saber
salir después cargado saco
anansi esconder matorral ahí
golpe si nunca leído
pedir hablar rico comerciante
dirigir plaza pueblo tomar
justo apagar último rayo
ventana escuchar comadreja decir
acuerdo traicionar yo mientras
luego llegar querubín mil
quedarás ruinar tener ayude
encontrar cazar encontrar fruta
rama lucir maravillosamente tentadoro
largo ató extremo cuerdo
lujoso isla tierra flotar
liderado gran ferocitaurus planear
hijo subiero burro ambos
día reina preguntar nuevo
intentar calmar él hechizo
fosa nasal superficie aguo
convertir mujer bello mundo
ventán panadeer deleitar él
casita ir quedar pequeño
ofrecer disculpa responder hombre
fenomenal hora cubrir peludo
anciana cocinera corte escuchado
rey cualquiera hombre poder
regañar él poder tener
insistir dios decidir encargar
cuenta soltar real perseguir
vez creer atrapado reaparecer
mario hecho ninguno truco
ser alto necesitar estatura
hacer pid decir zorra
él club preparar tipo
asegúratir ir dormir anochezca
empezar enviar recibir mensaje
mezcla sudor lágrima caldo
mano mientras dormir dar
enojado juan dar patado
tanto mal carácter cualquiera
magiviru primero virus mágico
futuro lanzar profecía nadie
leño bosque sostener familia
odio sembrar primero semilla
hacer acabar crítica criticón
ratito guardar moneda bolsillo
embargo pasar año belleza
él calle sacar nuevamente
tirar cordón desatar nudo
él alguien valiente alegre
dios música propio arte
él volver colocarlo mejor
sembrar cada año compartirer
poder ser tanto sensible
cansado desanimado entonces solo
conseguir aquel libro mágico
dos luz resplandecient irrumpir
lobo feroz hablar temible
casillo ficha negro recordar
desmedido temporal dañar seriamente
amam parejo cruzar camino
nuevo grupo amigos tigre
caminar pensar todo cosa
vecina recibir extrañado nunca
bárbaro fijar abuelo muchísimo
día acabar libro saber
lacito colita salir balcón
verdad solo libro escribir
día pasar tiempo agua
jardín gigante dar ninguno
concurso sino ganar amiga
hombre común creación extraordinario
semana después agitar varita
decir así quedarer aquí
aprovechar él crear escuela
mujer hermoso llamar pandoro
