lambda_gram,embedding
brainstorming particular three,000011011110110101010100001001111000001000
feeling crappy nowhere,001011000011100001101000110101010000100111
emotions get nearly,001001100110000011000111110101001110101111
tasks ordinary life,011101011010010101001010100001000100110100
truly feel agitated,011110111011110010110000101000000010100111
spotless stylish living,011011111000000111001010000101000101110101
others feel reassured,010100110000000010110000101001011111100111
stroll parent childhood,011100011111110101010011010100010011000001
impatient stop body,001110110010000111000100111100001100110111
head give h,001101100110000011001001010000110101000010
homework weeks holidays,001110001000001000001011100100111000001101
tears sadness true,011101100000010110010101000001111011101011
feel dead inside,001011000010100001110011011100111101001010
unreasonable demanding sometimes,011111101001100001111000100101101101101111
toll milk supply,011110010111000100101011010001110011101110
feeling something ive,001011000011100110110110110100111111001101
mention awesome glossy,010010100001110000100000101100110010101111
affectionate older sibling,000000100100100101000111011101101010010011
beware spoilers music,000010110011110110111101010101001101101111
stomach muscles definitely,011100010010010100110110101100011101110101
feel calm listened,001011000010100001000000100001000101100110
almost ok since,000000111000110101000111001001101010111000
finally making serious,001011010000010100011111110001101000001100
loving wednesday post,010001101111001000001011010001011001110101
feeling thankful warm,001011000011100111011100101010000010000100
affords young struggling,000000100101011000011011100101110010001001
lovely nesty feeling,010001101110000100111101000000101100001110
started feel irritated,011100000011110010110000101000111110110101
cam newton home,000100000011000100111110000000111000011000
often befuddled bengals,010100011010100000101000111100001010111111
week thought gentle,100000101101100111011111111000110001110010
bowie living iman,000011011011100100010111010100111010110111
fix things ml,001011011000110111011111000101001011101011
delicate balance clean,000111011111110000100011100100010100000100
little praise another,010001011011100101101001001100000100110010
feel honoured part,001011000010100011100010111001010100111100
since continuity going,011010101110000001100001100000110010111100
first byte random,001011010110010000111111010001011110101011
type prayers welcome,011111001000110101101001100110000011000100
im pages book,001110101011100101010000010100001101001011
piece string cheese,010101111001010111000111100000010010110010
time feel lost,011110001110000010110000101001000110101100
utterly completely free,011111111010010001011010000000101111111101
two time round,011111001000010111100011100001100100101000
arms hearts minds,000001011111110011011011100001001010111100
christmas songs jesus,000100110111100110110111010100111111110110
days see nicer,000111001100110110011101011001001111100111
blog post im,000011000101110101100111010100111010101110
disheartened young adult,001000010011101000011011100100000010000000
edit two articles,001001010001100111110010000100000110001111
federal dollars would,001011000000000010001001110010000101110010
feel unloved disregarded,001011000010100111111001100000100001100100
im hungry im,001110101011100011100111010000111010101110
respected choice making,011000101010110001001101000001000111111100
asked making feel,000001101000100100011111110000101100001010
brings refined feel,000011100111100110000001110000101100001010
solve magic cube,011011011001000100011110110100011011011000
feeling tortured hallucinations,001011000011100111100111101000110101010110
things affect prefer,011101111100010000001000111001011010101011
weak slowly worked,100000101000010110110000110010000101011010
feel groggy gives,001011000010100011010000111100110010011000
put leg around,010111011010010100001111101000000110000010
thighs got think,011101111011100011001100111001110111110010
smells bit floral,011011001000000000101110111100101110010001
think ungrateful blessed,011101111100100111110111110100001100001001
soon attempting toughest,011011011110110000011101011001111010000111
feel like witnessing,001011000010100100010100010110000100111101
particularly nostalgic day,010101010000110101000001001000011100101110
frustrated see way,001100000111100110011101011010000010011111
hopeful best give,001110001101000000101100010100110010010100
attention given well,000001110110110011001001011010000011001000
raging pms past,010111100110110101100011011001010101010111
find feeling shamefully,001011010001100010110000111001101000111001
mini tote tricky,010010110000100111100111111001111011010010
like random times,010001010001010101111010101101111000111011
hostile kinship mounting,001110010011000100000111011001001100111100
stubborn dont want,011100100010110010001010010010000001111000
lovely without oils,010001101110001000010011100101010001110000
happy score well,001101011101010110011010110110000011001000
crosswords shouldnt able,000110110001100110101000000000000000001111
depressed state mind,000111101001100111000001100101001010111011
ice cream day,001110100011100001101001101000011100101110
clever making seem,000101000011100100011111110001100111011100
telling shouldnt buy,011101100101010110101000000000001111110000
understand resolved put,011111010101110110001010011101011101101001
spin around block,011011110001000000011000001000001100010100
peace comfort new,010101011100110001010111000001001111011000
calling spirit needed,000100000001010110111100100001001110110110
everyones future feel,001010001101010011000011110000101100001010
comments left questions,000101011110110100001111100001011101111101
need protected feel,010011101101010101110010101000101100001010
shes sociable shes,011010010100110110110100111001101001010011
lovely reunited fields,010001101110000110001100111000101100101010
lonely child room,010001100011110001001100000001100100011001
chosen little joeys,000100110101110100010110111001000000000010
treat together computer,011110110000000111100101011000010110101101
vulnerable grew deep,100000010111100011010000000100011101011111
symptom fact yes,011101001110000010101011010110000110101010
music bauer proclaims,010011011011110000100111001101011011111100
feel messy room,001011000010100100101001100001100100011001
feel really amazing,001011000010100101111110000100000011110111
lot self talk,010001101011010110011110100001110101010110
see feel poison,011001110101100010110000101001011001000010
home happy life,001110000110000011010111010101000100110100
feeling extremely anxious,001011000011100010101001110100000100111101
bitter end thats,000010111101010010011011000101110111010001
channeled sense style,000100100011110110011111010101110010011110
hellip furious shooter,001101110011010011000011100101101001101111
check list feel,000100101010000100010110010000101100001010
penetrating feeling despite,010101100010010010110000111000011111001000
watch made hong,100000100101110100011110101000111000101010
feelings towards eddie,001011000100000111101000111000100101000010
feel pete also,001011000010100101011100000000000011101100
within music department,100001001110000100110110111100011110011010
pregnant mom often,010110101100010100110000000001010001101010
like federer talented,010001010001010010110000000101110101010100
feeling bit restless,001011000011100000101110111101100010111000
feeling little adventurous,001011000011100100010110111000000010000100
w see youtube,100000011000000110011101011010000110111111
time months try,011110001110000100110001010001111011111001
environment school add,001001111100010110011010010100000001100010
feeling really rebellious,001011000011100101111110000101011111101011
appreciate convenience peace,000001011001010001100010010101010101110011
bitch whatever need,000010111100001000001101011101001110110101
something stayed punished,011011011011010111000010010101011101010110
eating ice cream,001001001101100011101000111000011010011010
wanted feel assured,100000011110100010110000101000000111000001
feel lot better,001011000010100100011010110100001011001101
every day special,001010001100000001110010111001101110110001
knitting projects finished,010000100010010101110001011100101101001111
file databases go,001011001101100001110010011000110010110010
sleep beneath trees,011010111100100000101011100101111011000110
get today crying,001100011111010111100101000000011011010110
continue successful like,000110000101000111001011100001000101000101
emerging asian tiger,001001100010110000011001111101111000101110
two href http,011111001000010011100101100100111001011011
recycled generic actually,011000000011110011000110110000000001011111
im looking forward,001110101011100100011001100000101111011110
tends even sam,011101101010100010100010100001100101100001
sure hope dont,011100111111000011100011001000100010100100
feel time always,001011000010100111100011100000000011110101
miss cook laid,010010110111000001100011000101000010101110
research bathroom renovations,011000100111000000100110110001100001111001
post count link,010110011101010001100110000101000101011010
give kiss goodbye,001100100101000100000111011100110011000011
students classroom hostile,011100100100000001001111111000111001001100
know thanks supportive,010000100011100111011100111001110011110100
mentally physically really,010010100001100101011101100001011111100001
ugly failure way,011111001011110010101011110110000010011111
love supporting small,010001101101100111001111001101101100010110
hobby thing feel,001110000001010111011111000000101100001010
feeling inside face,001011000011100011110100101000101010101110
going tempted lake,001100101111000111011010001101000010110000
better nutrition time,000010110011010101000011011001111000111000
energy trying sew,001001110001000111101111110001101000100011
feel disappointed though,001011000010100010000010011001110111111101
get comments really,001100011111010001010111101101011111100001
computers pour code,000101101011100101101000000100010101000000
feel im taking,001011000010100011101010111001110101010010
feel like songs,001011000010100100010100010101101101110101
like nearly close,010001010001010100111010111100010100100001
keeping head til,010000010101000011011001100001111000110101
sat work late,011001011011111000010101100101000011000011
feelings distinction norm,001011000100000010000111001101010000001010
like one opportunity,010001010001010101001000000001010010011000
days mostly ended,000111001100110100110010100100100110110100
get really dizzy,001100011111010101111110000100100010001100
move movers working,010011010001000100110100100010000101011101
href http zackmdavis,001110010110010011100101101110000111000100
feel homesick id,001011000010100011100001111000111010010010
bit proud one,000010111011110101110010111001010010000000
friends prior weekend,001100000100100101101110110010000010110111
short lived would,011010011101110100010111000110000101110010
days relieved could,000111001100110110000101001000011001011011
power distract day,010110100001100010000111010100011100101110
expect neurotic superficial,001010011011110100111101010001110011100101
recruiters look like,011000000011100100011001011001000101000101
though interested style,011101111111010011110111101001110010011110
degrassi junior high,000111011110000100000011101100110111101001
im feeling unloved,001110101011100010110000111001111110011000
much delicious eateries,010011010101010001111000000000100100110101
know feeling pretty,010000100011100010110000111001011011010100
way slowly surely,100000100111110110110000110001110011111101
dont want wax,001000101001001000000111100010000010011110
feel awkward talking,001011000010100000100001000001110101011001
trapped like missing,011110101100110100010100010101001011011110
say anything positive,011001100000110000010100001101011001101011
frustrated guys think,001100000111100011010011111101110111110010
patients families become,010101011000100010101100111100001010000011
events order assuage,001010001011000101001010011000000110111011
feel reassured living,001011000010100101111110011101000101110101
went home bar,100000110010110011100001100000001001001011
parts constitution want,010101010010110001011111100110000001111000
making silly face,010001111111000110101010110000101010101110
virginia florida handful,100000001111110010111001001000110101011101
love feel sweet,010001101101100010110000101001110100100010
confused left sour,000101110110010100001111100001101110010111
receiving bloodshed conflicts,010111111100110000110010001000010111010100
worse feel shoes,100001011010110010110000101001101001101011
helpless make real,001101110100110100011111100001011111010101
feeling especially ungrateful,001011000011100010100000110001111101111101
emotionally financially socially,001001100101100010110100010001101101010010
game im avoiding,001100010010100011101010111000000111111111
intimidated diy project,001111100010100010001000101101011100010101
get feeling people,001100011111010010110000111001010110001110
beautiful surprise party,000010100000000111010000001101010101001100
amazingly chill morning,000000111110000001001100010101001100100011
sit one rocking,011010110010100101001000000001100100001010
feel rich indeed,001011000010100110001110001100111011111011
days week um,000111001100111000001011011001111100110101
since starting shred,011010101110000111000001001001101010001011
help wont make,001101110011111000010100111101000111111000
inspired every single,001111010101000010100011000001101010111110
house everyone gathers,001110010101000010100011010000110001011011
neglectful blog chaotic,010011110000110000110001011100010010010001
didnt reply got,000111111101110110001000100100110011001110
incapacitated stupid flaring,001110111000110111001001101100101101101110
feeling increasingly hopeful,001011000011100011101111011000111000110100
status quo probably,011100001000100101111000110001011011110110
want anything productive,100000011110000000010100001101011100000011
burden boyfriend weve,000011110101000000110111001110000011010011
artisans trying find,000001100100100111101111110000101101000110
still feel somewhat,011100001111100010110000101001101101110001
scorpio soulmate friends,011001101011110110111001000100110000010010
strong enough let,011100100000010010011101010101000100010111
feel deprived later,001011000010100001111010100101000011000101
method self preservation,010010100111110110011110100001011011001000
feel way version,001011000010101000001001111110000000011000
refreshing back hometown,011000001000110000100001111100111000011111
series challenges life,011010000001110001001000001101000100110100
feel afraid control,001011000010100000001001100100011000100100
ways looking life,100000101000000100011001100001000100110100
think shes lead,011101111100100110100101001101000011100000
feeling energetic morning,001011000011100010011100000001001100100011
thrilled get b,011110000011010011000111110100001000011001
always say im,000000111101010110011000001100111010101110
music criticisms reinforce,010011011011110001101011101101100000110111
feel discontent life,001011000010100010000011011001000100110100
resentful others let,011000100111010101001100000001000100010111
feel recipe theme,001011000010100101111111100001110111010110
reached conclusion feel,010111110000010001011011110100101100001010
fragile feel vulnerable,001011111010000010110000101010000001011110
forget embrace dont,001011110010110010011000100000100010100100
see whenever look,011001110101101000001101101101000110010110
really festive hope,010111111000010010110010000100111000110010
id invest bombing,001110100100100011111001100100001101000001
could used blog,000110010110110111111101101100001100010111
thoughts feelings want,011110000000010010110001000010000001111000
feel like get,001011000010100100010100010100110001111101
foolish alone rain,001011101101110000001110010001011110011111
catch much needed,000100010011110100110101010101001110110110
giant painted horses,001100100001010101010000110100111001000110
luckily normal vet,010001110010000101000000101110000000011010
feel casual like,001011000010100001000100110001000101000101
without feeling completely,100001001110010010110000111000010110100000
really joyful img,010111111000010100000001110100111010111001
feel blessed dan,001011000010100000110000100100011100001110
capability government areas,000100000110100011001101000100000101110111
feel kind love,001011000010100100000110110001000110110110
going bring baby,001100101111000000111001110000001000011101
like women also,010001010001011000010100011100000011101100
possibly throw away,010110011101000111100001010100001000001001
trail mix another,011110101000000100101110011100000100110010
would bailed half,100001011100100000100011010100110101010010
feel quite reassured,001011000010100101111000100101011111100111
gone room waited,001100110000000110010001100110000001100101
complacent workings country,000101100110101000010101111000011001101000
fully satisfied never,001100001011100110010111001101001111010110
hadnt seen may,001101010010000110011110000101001001001001
honoured river href,001110001011100110001111111000111001011001
almost mile away,000000111000110100101011000100001000001001
maybe get rid,010010010010100011000111110101100011100101
im one brain,001110101011100101001000000000001101111010
feels strange sitting,001011000100010111000101110101101011010000
one point show,010100100000000101100011111001101010000101
feeling angry confused,001011000011100000010001111100010111011001
let dreams creativity,010001000101110010001101101100011010100011
piece feel like,010101111001010010110000101001000101000101
truth feel rather,011110111101100010110000101001011110111001
curiosity killing think,000110111001100100000110101101110111110010
feeling terribly adventurous,001011000011100111011011011100000010000100
realization life shit,010111110111000100010011010001101001100011
genuinely putting good,001100011101100101110110110100110011000010
damned hopeful around,000111000011010011100011010000000110000010
time post anything,011110001110000101100111010100000101000011
promised wont enter,010111000110111000010100111100100111011011
great many deem,001100111101110100100001010000011101011100
awful someone drive,000010000011010110110110101000100011101000
recently fact havent,010111111101010010101011010100110110010100
nice someone cares,010011111001010110110110101000010000110110
tired feeling crappy,011110010001110010110000111000011010001101
really good first,010111111000010011001100001000101101011001
feel relieved ready,001011000010100110000101001001011111010010
rejected also wondering,011000001110010000001110110010000101001101
graphic curtain call,001100111011100001101110110100010000000010
clich flaws feeling,000101000011110010110111110000101100001110
common girls feel,000101100001000011001001001100101100001010
kinda feel ungrateful,010000011011010010110000101001111101111101
enough talented enough,001001110101010111010101010000100111010101
pride self control,010110110111100110011110100000011000100100
like theyve erupted,010001010001010111011110101100101000000111
help feel sincere,001101110011110010110000101001101010111001
staked bird feeder,011011111111110000101110011100101100000111
kind found sympathizing,010000011011000010111110000101110100110110
get zimbabweans back,001100011111011000011100110000001000011111
strong woman strong,011100100000011000010100010101110010000001
shes content guess,011010010100110001100000110000110100100101
irritable feel sensible,001111101100110010110000101001100111110111
artistry knowing back,000001100101010100001000111100001000011111
offer kind suppport,010100010111100100000110110001110011111000
feeling hopeful positive,001011000011100011100011010001011001101011
casual dylan fans,000100010011000010010001110100101011011001
past parked car,010101010101110101010011101000010000100100
overly awkward less,010100111000100000100001000001000100010001
like could made,010001010001010001100101101101000111101010
feel come understand,001011000010100001010110100101111101010111
ive undressing eyes,001111110011010111110110010100101010101000
rich people fall,011000111000110101011000111000101011001000
without help bipolar,100001001110010011011100111100001011100110
right four hours,011000111011000010111110011000111001010011
decide make simple,000111010010110100011111100001101010110000
back people say,000010000111110101011000111001100110000011
seem wake every,011001110111001000000110100000101000110000
part change infrastructure,010101001111000001001000100100111100100111
fearless incrementally throwing,001010111110000011101111100101111000010110
back wont get,000010000111111000010100111100110001111101
put place know,010111011010010101100000011101000010001110
kiss maybe copping,010000011101110100100100101000011000111101
show face work,011010100001010010101010111010000101011001
speak scream sleep,011011101011010110011011010101101011110010
sure im feeling,011100111111000011101010111000101100001110
transcend productive along,011110101010110101110000001100000011100101
strewn table centre,011100011100100111010100001000010001110000
worthy less loving,100001011100010100010001000101000110111100
inspiring song song,001111010101100110110111010001101101110100
lying bed feeling,010001110111110000101000011100101100001110
locking attics barns,010001100000010000011101110000001001010101
anger hurt sadness,000001000110110011100111101001100101010000
feel like mostly,001011000010100100010100010101001100101001
real whatevers mind,010111110101011000001101100001001010111011
naughty stories rudolph,010011101001110111000101011001100100110011
makin rain may,010001111110110101111001111101001001001001
really like special,010111111000010100010100010101101110110001
honoured teamed jim,001110001011100111010111110000111111111011
need see wild,010011101101010110011101011010000100001001
rain may acceptable,010111100111110100100100100100000000101000
life tragic death,010001001101000111101001111100011101000001
would someone thrilled,100001011100100110110110101001111000001101
likeaudrey hepburn breakfast,010001010001110011011101100100001110000110
enjoy banter every,001001110011100000100100101000101000110000
every time christmas,001010001100000111100011100000010011011110
acted merit grade,000000010100100100101000111100110011011100
feeling saying string,001011000011100110011000010001110001111000
exhausted husband able,001010011000000011100111111000000000001111
throwing away seemingly,011110000101100000100000100101100111011111
onto body hes,010100100001110000110011011100110111011110
die horrible death,000111111110000011100100000100011101000001
belongs someone else,000010101100110110110110101000100101111011
baby belly women,000010000111010000101010110110000101000111
tiger tiger dance,011110001011100111100010111000011100001111
free remind things,001011111111010110000110110001110111110001
feeling much positive,001011000011100100110101010101011001101011
dragons breathing tubes,001000110001100000111001000001111100000001
every week doctor,001010001100001000001011011000100010010010
aside like dick,000001101000000100010100010100011111110101
trapped mall starting,011110101100110100100000000101110000010010
feel like preface,001011000010100100010100010101011010101010
talking abstract forms,011101010110010000000001101100101111011000
year sabbatical made,100001101000000110010100100101000111101010
awful individuals bad,000010000011010011110000011100001000101000
feel burdened could,001011000010100000111101010100011001011011
know thoughts feelings,010000100011100111100000000100101100010000
say name feel,011001100000110100111000110100101100001010
fireplace like abc,001011010101010100010100010100000000001000
feel kids appreciative,001011000010100100000110100000000101101001
feel way felt,001011000010101000001001111100101100010111
little sad goes,010001011011100110010100110000110010111011
outside feel like,010100110100100010110000101001000101000101
marathon world nothing,010010000101111000010110010001010000011000
able tell handle,000000000011110111011001010000110101100000
truly get feel,011110111011110011000111110100101100001010
see photos us,011001110101100101011101001101111111011000
remember lot good,011000011010000100011010110100110011000010
even time two,001010001010000111100011100001111100100001
picks feature alongside,010101110111110010101111110000000011100110
healthy house plants,001101101010000011100101010001011000010100
passionate certain topic,010101010101010001000111001101111001110001
body leaving nothing,000011001101110100001111001101010000011000
decisions call names,000111010100010001000000001001001110001111
never felt part,010011110101100010110001011101010100111100
really process feeling,010111111000010101101111101100101100001110
ecstatic normal feels,001001010000000101000000101100101100010001
another work day,000001001100101000010101100100011100101110
sense wat let,011001111101011000001001011001000100010111
experimented learned new,001010011110110100001110101001001111011000
put makes skin,010111011010010100011111100101101011100010
think wants enter,011101111100101000000111110100100111011011
accepted judged feel,000000001010100100000010100000101100001010
image feeling mark,001110101100000010110000111001001000011101
feel superior actually,001011000010100111001110011000000001011111
unbelievably lazy want,011111001111000100001101110110000001111000
investment category getting,001111100111010001000101000100110010000001
im feeling mellow,001110101011100010110000111001001001110101
supporting im struggling,011100111100110011101010111001110010001001
totally utterly trusting,011110011111010111111110100101111011110100
varsities picked muse,100000000000000101011101110001001101101100
new clothing tell,010011110110000001010010100101110110010100
feeling least bit,001011000011100100001111000000001011101111
never get back,010011110101100011000111110100001000011111
felt tired noticed,001011000101110111100100011101010000011100
like much clever,010001010001010100110101010100010100001110
wanted know caused,100000011110100100001000111000010001011001
one feel loving,010100100000000010110000101001000110111100
last months life,010000110000000100110001010001000100110100
went far feels,100000110010110010101101110000101100010001
things seem little,011101111100010110011101110001000101101110
wish week feel,100001001011001000001011011000101100001010
pleased fact one,010110001010000010101011010101010010000000
living dance around,010001011101010001110000111100000110000010
relationship expressed ways,011000010000010010101000110010000010100000
hilarious e cards,001101111100100010010001111100010000101100
feel need get,001011000010100100111011010100110001111101
blank right thats,000011000000100110001110110001110111010001
really hit home,010111111000010011011111111100111000011000
want break wallet,100000011110000000111000010110000001110010
feel isnt faithful,001011000010100011111011110100101011000101
days christmas feel,000111001100110001001101111000101100001010
towards outside changed,011110100011100101001101001000010010001010
