text	class
i also need to remember how bad overeating makes me feel not just the fullness but the hangover i get from food thats too rich or too sugary	1
i recall those high school feelings and the longing with which i watched the olympic runners i feel st	1
i was left feeling foolish all alone in the rain	0
i feel better now	1
i shalt say we did cos i din feel a thing when he wrote hw he is keen on xxx	1
i feel so appreciative to the owners of this cafe	1
i am actually considering buying them thats why i feel so unsure hehe	0
i feel that npr provides a valuable service	1
i know that s wrong but i feel ugly	0
i feel like when you only have one child that the time you have with them is all the more precious	1
i feel dumb after that	0
i do not like feeling unsure and uncertain	0
i usually don t wear glasses at first i had uncomfortable feeling like irritated but lately i feel comfortable to have it	0
i reached down to feel what that strange sensation was and i felt something there	0
i returned not feeling rejuvenated but exhausted	0
i am feeling soooooooo giggly	1
i feel a perverse pride in my self control that i managed to stay where i was ordered and not reach for the tempting human flesh so close before us	0
i have to visit them every after school and later i have to go tuition and i do not have the time to even study for my exam next week and i have a feeling that i am so going to fail a lot of my subjects and to be blamed for either not concentrating during class or not studying	0
i am feeling a bit unsure about some of these im going to give it a try anyway	0
i mean i enjoy feeling pretty with make up on	1
i feel assaulted the new kid whined	0
im feeling ok and always has a hand on me or sits very close	1
i could feel the blood in my veins go cold	0
i feel terribly unkind to say it span style font size	0
i did not do all this to feel pretty might i add	1
i told him it was a good drink and made him feel talented as a bartender	1
i feel fantastic and i find that i have a renewed sense of strength and endurance	1
i last talked to her and now i feel all bouncy again i shall sleep well tonight methinks	1
i feel like this vile thing brooding gnawing deeper in spirit	0
i have this nagging feeling that i fucked everything up on the first try	0
im feeling a bit more sociable now although i dont think ill be able to express everything i want to say	1
i love to add just a little milk and when i m feeling especially naughty a splash of caramel and vanilla syrup but shhh	1
i am currently but i can t even do that right now without feeling indecisive and tied to school and writing and assignments	0
i find it unloving and unkind to our bodies and only makes us feel like we re being punished for something	0
i wanted to write and feel purged of those repressed feelings	0
i really feel that my life is perfect right now and if it isnt too much to ask for i just hope that everything would stay the same	1
i didnt feel like any of my problems were resolved	1
i started to feel cold like symptoms of light nausea cough and tiredness	0
im feeling too stressed doing homework that i dont feel like going out	0
im just feeling sort of lame and lonely	0
im which turned out to be easy yummy and made me feel very clever as i was able to make sandwiches and soup out of the leftovers like my mum	1
i am feeling out of balance or troubled about something i have a few guiding principles that i consider choose the highest priority	0
i remember feeling frantic at this point	0
i feel offended and sad because they do not know their ignorance	0
i remember feeling absolutely devastated by what i saw	0
i give probably to the degree that some might see as too much but if i feel taken advantage of or wronged in any sense i have absolutely no problem shutting it down and walking away	0
im not feeling hot and bothered but i let him hold onto my body as if hes ready to dine ive told you that i would find no better lover when hes kissing my lips its yours i think of i need to imagine you in order to get off	1
i feel like every day is a blur of running being irritated with my son and doing something pertaining to making dinn	0
i was feeling creative i see you alternate version of me	1
i was thinking that i might be ready but was feeling unsure of my assessment	0
i feel as though im becoming jaded to the point of numbness	0
i feel like im over reacting by feeling so gloomy about it all	0
i really feel so vunerable and frightened	0
i realize that this conversation can make some people feel paranoid or upset generally	0
i like doing leaving me feel inadaquate under valued and under appreciated	1
i am going to miss running over and putting my hand on your belly to feel my sweet holli reese kick	1
i feel like my meds arent working correctly and idk its weird	0
i have been feeling generally disheartened by my continually plummeting tots score despite the fact that my stats are improving so much	0
i keep feeling like i should pinch myself to make sure its real because the sheer quantity of awesomeness im about to receive is amazing	1
i listen although i don t feel very brave about it feeling skeptical about its possibilities here	1
i dont think i would have touched this book if i hadnt received it for free but once i got past my judgments about the author white people problems entitled rich whining and self delusions i feel like i got something valuable out of this book	1
im feeling generous its easy when youre giving away other peeps stuff if after you vote you visit the a href http www	1
im still feeling annoyed though	0
i had no immediate response though in retrospect i feel i could have said so many things to convince her to be gentle with the love pony and ride her nice and easy	1
i remember feeling so disappointed and discouraged when i realized after my first two that the baby belly on some women i	0
i feel so vulnerable i need to have a mask on to go into the world or if my desire is caused by a need to divert attention or cover up weakness i should probably be making more constructive use of my time than trying to look pretty	0
i do feel sad for myself for not wanting that and thoughts extend up to a point that ill die alone	0
i tell people it feels like i am trying to convince people i am innocent but no one believes me	1
i want to stop taking it one day but also feel terrified that lots of feelings of anxiety panic will come flooding back	0
i feel like we had a wonderful summer and know now that school has started the year will fly by	1
i could feel this depressed since im always known or labelled to be happy blessed and all	0
i remember feeling absolutely devastated by what i saw	0
i feel somewhat hopeful about things	1
ive been comfort eating because im still feeling rubbish and i havent bothered to log most of it so theres no point checking on my food log yeah i know some of you do that	0
i feel heartbroken for bryan	0
im back with another skincare review well actually i feel reluctant to make a review of sectret key snail egf repairing gel cream because i even stopped using it switched back to my second jar of a href http sparkleapple	0
i am feeling listless without direction	0
i feel like i m on the receiving end of a violent attack	0
im feeling generous id treat my friends for dinner or have a bbq at home in our little backyard while the weather is still nice and warm	1
i feel so honoured so have been allowed to write my story and	1
i bet taylor swift basks in the knowledge that the boys she writes songs about probably feel tortured	0
im feeling a but of melancholy today a bit of sadness but i also feel that the sadness is ok	0
i don t know why that surprises me because whenever i get exercise whether it s working out in my garden or going to the gym i feel terrific afterward which is naturally the reason i don t do it all the time	1
im not one of those people who can bury all their feelings and anger just in a second giving out a sweet smile even when in pain and anger	1
i needed to feel energetic and confident	1
i feel like i got in at that sweet spot before everyone realizes how messed up everything really is	1
i said eventually it brings me down again not only because of the sugar that it contains which as i said ends up making me feel groggy and gives me a tummy ache but also because of the guilt i feel afterwards	0
i tend to lose feel for the water pretty quickly when im not in the water every other day and i felt this during the race	1
i feel paranoid that every time i log onto facebook or attend church that im about to find out yet another friend is pregnant	0
im told by horsey people that they are a rare find so i feel quite lucky	1
i was positively giddy when the kids left this morning after our very last official class of the year but now im feeling a little sad	0
i really enjoyed giving my class one because i knew all the answers and got to feel clever all day and two because it you don t often get a chance to play with these sort of things in training sessions and it was nice to spend time with everyone as new groups came through throughout the day	1
i feel like i ve been there and gained a sense of the everyday paranoia and the casual brutality of the time	1
id be more use at that level which would make the job feel more worthwhile and the season is basically half as long	1
i feel troubled lord and i honestly don t know why	0
i close my eyes for a moment just to let myself feel the gentle warmth of his hands overlapping mine guiding me	1
when i was years old my father travelled very much for his work he passed three months away from home	0
i think i could manage one team in jacksonville without feeling too dirty	0
i feel passionate about and feeling so utterly completely free	1
i am feeling very gorgeous and i dont have to go outside in the cold with a bald head or with a wig that i dont like all that much	1
i do buy synthetic pearls when i feel the need to and i use these for some of my more elegant jewelry and trinkets	1
i found that the price of staying and feeling gorgeous has sky rocketed so i decided to take my own personal experiences and use them to give fellow students and other people on a budget a helping hand	1
i also feel pressure to be successful here because of my passion for cal	1
i actually answered you pathetic fucking e mails but no thats too fucking easy just call andintrupte what was a wonderful fucking day with you trad trash what the fuck slave he felt the feeling come over him he bagan to shiver and shaken with fear	0
i feel so honoured and luckily for me i get to post cards	1
i thank him when i feel so utterly defeated	0
i feel when juggling all of the fine details that go into a professional writing career	1
i visited the psychologist all those years ago i really took to heart what he said about not closing myself up and letting others know when i feel uncomfortable etc	0
i feel as if anything less than points is acceptable and that we can forgive the team for losing at old trafford or stamford bridge	1
im feeling pretty energetic	1
i had no obligations except the thesis which i didnt do i already started missing something that would make free time feel more valuable	1
i then had my watch from am this morning but was feeling just fine so did an additional hour so my dad could rest a little longer	1
i feel so hated by the man that is suppous to love me forever and ever	0
i only want jayson cause i feel that hes the most supportive person and he is the person that will be able to help me through the delivery	1
i remember seeing it on the monitor and feeling like i had a truck on my chest and couldnt breathe my husband told me theyre going to intubate you now i wasnt convinced i would survive and wanted to live so badly	1
i think its fair to say that in this life we all want to feel sincere connections with other people to experience bonding through similar beliefs or experiences to have true synchronicity with the people in our lives	1
im an academic addict i cant say that im really feeling eager about it right now	1
i am a very generous person in that i give quality time and make people feel special	1
i know and in the back of my mind i feel like im not being loyal trusting but i need to make sure that im doing the best thing	1
i am feeling really confident moving into tomorrow as it will be the same juice smoothie and raw vegan meal menu routine	1
i have been doing absolutely no exercise however and sticking to that literally just sitting around but i feel i just need some supporting thoughts	1
i feel that rich people will never understand the cruelty of money	1
im feeling all kinds of conflicted about the bit with his rather violent reaction towards the paparazzi over that zq jcho cpine lunch	0
ive been feeling much more confident	1
i admit to feeling a little foolish when i first arrived	0
i know that when we feel so beaten down and we are dispairing that it feels like the savior is so far away	0
i learned i feel lonely at parties i like to plan them however if you dont stuff your feelings with food or liquor or shopping you can	0
i feel let alone give a shit	0
i love you to me actually made me feel dismayed and disappointed	0
i leave feeling defeated hopeless and too weak to keep pressing into god and recovery	0
i feel a bit like franz liebkind in the producers not many people know it but the fuhrer was a terrific dancer	1
i want to be positive in the morning i will need to convince my subconscious into believing i am feeling terrific	1
i feel like i should be hated and that everything that has happened to me is what i deserve	0
i feel a divine calling to become an lsd chemist the pub shroomery message board link href smarty templates css www	1
i was way up ahead of raphael and laiya jennifer had stayed behind to watch our stuff since i was feeling particularly energetic and scampering up the mountain	1
i am feeling a little irritated with some close friends and yes i feel like i have an ongoing hangover but those arent reasons for my bad mood	0
i feel only reason skudrive is so popular is becsuse microsoft is so media driven	1
i love to sew cook and also dabble in mixed media art when i feel like getting messy	0
i especially have trouble socializing with females now before i moved away from my friends and family i actually preferred being with my female friends than with my male friends simply because i did not enjoy feeling like i had to offset my effeminacy and repressed homosexuality	0
im hurting because i feel like my friends are no longer supporting me just because im struggling	1
i feel so incredibly graceful and sexy in this pose i have to say	1
i do how empty disappointed angry sad chaotic destructive i feel today im just mad at myself why do i always fuck up shit	0
i feel like if i train smart and take it easy i will be back to my former self in no time	1
i feel really tranquil where i am right now	1
i feel his love and blessings as i meet loving supportive people as im inspired to write new songs and as my life unfolds before me	1
i have friends and family back home that can help me when i m feeling homesick because i m sure i will be	0
ive been feeling weepy and sensitive today as time rolls towards the anniversary of my fathers death	0
i can t help but think what they must be feeling with the loss of jon s talented advanced horse coupled with the joy of a new baby on the way such a mixture of extreme emotions	1
ive seen the way serina feels strange if shes not being useful and it sure helps that the cleaner is pretty expensive and not having to pay that money would be pretty great	0
i hate feeling alone	0
i feel listless but today was aiiiiighhhht	0
i feel like i almost convinced myself this is going to be the pattern	1
i feel like i instantly became an addison reed super collector hours ago	1
i feel somehow reassured to a href http www	1
i feel eager to see the show sometimes i just cringe at the thought of watching it again	1
i feel is defective	0
i tend to keep my mouth shut because im not well enough informed but when it comes to public education i can speak what i feel because thats one topic im passionate about and do my best to keep up with	1
i may feel stress unhappy	0
i feel honored to have been on the show and my students were very excited for me giardina said	1
my girlfriend who had spent months abroad broke off our relationship by letter	0
i feel pretty fantastic	1
i took a day off which is so unusual for me i almost feel naughty	1
i spent my vacation from school feeling confused and heartbroken	0
i feel i have no hope of supporting a family and purchasing a house in vancouver	1
i get so tired of pretending everything is great and granted things are pretty good yet i am feeling discontent	0
i feel like you can have a piece for breakfast and its ok on the nutrition scale	1
i was feeling kind of resentful about it since its april and all	0
i am afraid that once again i will feel hopeless and lose all of the peace that i gained after my last episode	0
i feel ashamed that i hadn t even made root mousse in about a year this was a recipe that my swedish grandfather would make for the family though i hear the most authentic version calls for turnips which are not in season right now	0
i think i like how it feels more lively in the dorama	1
i can feel the awkwardness whenever i do something that was acceptable before but no longer is	1
i get to this store and feeling almost defeated i tell my mom it would be so crazy if they didnt have a printing service	0
i can tell most of the time what shes really feeling and she was being really sincere	1
i still am not able to remember a single dull moment a detail that pissed me off a thing i didnt feel comfortable about	1
i also wanted to let you know that despite doing this blog post im still feeling a bit weird about blogging	0
i feel relieved that a rescue party has arrived	1
i don t whoop and holler unless there s a special occasion going on but i was feeling suitably jubilant and a tad proud so out came the somewhat constipated yhhhay	1
i can feel from here beloved your fragrance	1
i was feeling angry at myself for feeling self conscious about my shorts or for wishing that i wasnt alone	0
i were honest i could admit to those feelings from time to time but as jonah knows god is gracious and lucky for jonah and me god is still gracious gracious to people like us	1
i had to move rooms and i just feel absolutely exhausted	0
i tell myself i am pretty a hundred times doesn t mean i feel pretty	1
i feel honored by it	1
i always had to eat everything on my plate and ate and ate and ate without feeling satisfied	1
i have certainly been in places where i did not feel welcomed and i made a point to go on to a place where i did find that feeling of welcoming	1
ive to admit im feeling excited yet so unprepared for the surgery	1
i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted	0
i have mixed feelings about this book but at least it looks significantly superior to the movie	1
i have a feeling that will never happen and that feeling is reassured with every kiss its still something that is always in the back of my mind that i just cant seem to shake	1
i feel more useful to g this way	1
im sure there are plenty of lovely parties going on but im not feeling very sociable whats new	1
i feel bitter and just honkerblonked off in general	0
i was in the firm i feel passionate about what i am doing because it challenges my mind and intellect to solve some design problems and be around architects and designers really helped to create a conducive environment	1
i have narrowed it down to the top items i feel are a must have to make the next year of your babys life more pleasant for the both of you	1
i closed her eyes in anger and feeling disgusted by this touch	0
im left feeling paranoid and like it keeps getting harder to feel happy	0
i feel ashamed when i log out and leave these problems behind	0
i feel so resentful about having to take care of us and not getting to do what i want to do	0
im starting to feel a bit more resolved	1
i am feeling discouraged	0
im still feeling a little hesitant but plunging in with a multitude of colored pencils nonetheless	0
i feel satisfied knowing the dirt and hair is no longer in the car and house	1
i am not a very extremely good friend of someone of course i feel reluctant to some extent if i have to do favours for that someone	0
i feel so mad i feel so angry i feel so callous so lost confused again i feel so cheap so used unfaithful let s start over let s start over let s start over	0
ive been feeling lately that i am much less likeable than i used to be	1
i reached down to feel what that strange sensation was and i felt something there	0
i feel the absence of my herbs especially when i am craving a delicious homemade soup	1
ive felt the last few days i feel fucking fantastic today	1
i could feel the blood in my veins go cold	0
i had awesome workouts and feeling amazing	1
i feel less stressed and at the end of the day usually discover that ive done more	0
i feel satisfied when i am able to translate a funny idea in my brain	1
ive got all those books and i feel reluctant to sell them	0
i feel like it is worthwhile to support local artists and so does clay so i am fortunate in that sense	1
