X_text,X_emb,y_text,y_emb
transfer shall,1001001001110101110100,shall take,1010111010010110011100
shall take,1010111010010110011100,take place,1011001110011110011011
take place,1011001110011110011011,place manner,1111001101111000010000
place manner,1111001101111000010000,manner data,1100001000000101100011
manner data,1100001000000101100011,data needed,0010110001111011000000
data needed,0010110001111011000000,needed perform,1101100000011010000111
needed perform,1101100000011010000111,perform fourier,1101000011101110101111
perform fourier,1101000011101110101111,fourier transform,0111010111110010010000
fourier transform,0111010111110010010000,transform showsup,1001001000010101010010
transform showsup,1001001000010101010010,showsup single,1010101001010101011000
showsup single,1010101001010101011000,single processor,1010101100011111110000
single processor,1010101100011111110000,processor backend,1111111000000011100100
processor backend,1111111000000011100100,backend tofrom,0001110010010010001001
backend tofrom,0001110010010010001001,tofrom monitor,1001000100111001010000
tofrom monitor,1001000100111001010000,monitor control,1100101000000101000111
monitor control,1100101000000101000111,control interface,0010100011101001001000
shall receive,1010111010011101110100,receive via,1110111010010011000010
receive via,1110111010010011000010,via mc,1001100001011000111011
via mc,1001100001011000111011,mc state,1100011101110111110110
mc state,1100011101110111110110,state count,1011111011000101010111
state count,1011111011000101010111,count data,0010101011100101100011
count data,0010101011100101100011,data produced,0010110001111111010011
data produced,0010110001111111010011,produced correlator,1111101001100101011111
produced correlator,1111101001100101011111,correlator data,0010101111100101100011
correlator data,0010101111100101100011,data valid,0010110001110011011011
data valid,0010110001110011011011,valid counts,1001101101100101010010
valid counts,1001101101100101010010,counts quantizer,0010101001011101000100
counts quantizer,0010101001011101000100,quantizer power,1110100010011110101010
quantizer power,1110100010011110101010,power measurement,1111010101011000101001
power measurement,1111010101011000101001,measurement data,1100010100100101100011
measurement data,1100010100100101100011,data filter,0010110001101111110010
data filter,0010110001101111110010,filter parameters,0111111001011010110000
filter parameters,0111111001011010110000,parameters frequency,1101011000001110111010
parameters frequency,1101011000001110111010,frequency shift,0111011101010101110110
frequency shift,0111011101010101110110,shift parameters,1010111011011010110000
shift parameters,1010111011011010110000,parameters windowing,1101011000010001110111
parameters windowing,1101011000010001110111,windowing parameters,1000111011111010110000
windowing parameters,1000111011111010110000,parameters observational,1101011000011011110000
parameters observational,1101011000011011110000,observational mode,1101111000011001110100
observational mode,1101111000011001110100,mode shall,1100111010010101110100
mode shall,1100111010010101110100,shall receive,1010111010011101110100
shall receive,1010111010011101110100,receive via,1110111010010011000010
receive via,1110111010010011000010,via mc,1001100001011000111011
via mc,1001100001011000111011,mc data,1100011101100101100011
mc data,1100011101100101100011,data parameters,0010110001111010110000
data parameters,0010110001111010110000,parameters specific,1101011000010111001100
parameters specific,1101011000010111001100,specific current,1011100110000101111000
specific current,1011100110000101111000,current evla,0010111100001101011000
current evla,0010111100001101011000,evla observational,0110101100011011110000
evla observational,0110101100011011110000,observational mode,1101111000011001110100
observational mode,1101111000011001110100,mode needed,1100111010011011000000
mode needed,1100111010011011000000,needed processing,1101100000011111110001
needed processing,1101100000011111110001,processing correlator,1111111000100101011111
processing correlator,1111111000100101011111,correlator lag,0010101111101000100100
correlator lag,0010101111101000100100,lag values,0100010010010011001011
lag values,0100010010010011001011,values metadata,1001100101111001100111
values metadata,1001100101111001100111,metadata shall,1100110011110101110100
metadata shall,1100110011110101110100,shall receive,1010111010011101110100
shall receive,1010111010011101110100,receive via,1110111010010011000010
receive via,1110111010010011000010,via mc,1001100001011000111011
via mc,1001100001011000111011,mc metadata,1100011101111001100111
mc metadata,1100011101111001100111,metadata necessary,1100110011111001000001
metadata necessary,1100110011111001000001,necessary format,1100100000101110100000
necessary format,1100100000101110100000,format results,0111010000010100000000
format results,0111010000010100000000,results delivery,1010000000000100111111
results delivery,1010000000000100111111,delivery ee,0010011111101100101010
delivery ee,0010011111101100101010,ee operational,0110010101011011100010
ee operational,0110010101011011100010,operational status,1101110001010111111110
includes lag,0101111111101000100100,lag frame,0100010010001110101110
lag frame,0100010010001110101110,frame destination,0111010111000100011110
frame destination,0111010111000100011110,destination addresses,0010001111000000100101
destination addresses,0010001111000000100101,addresses address,0000010010100000100100
addresses address,0000010010100000100100,address changes,0000010010000110011110
address changes,0000010010000110011110,changes error,0011001111001101010011
changes error,0011001111001101010011,error warning,0110101001110001001000
error warning,0110101001110001001000,warning shall,1000100100010101110100
warning shall,1000100100010101110100,shall provide,1010111010011111000110
shall provide,1010111010011111000110,provide error,1111100011001101010011
provide error,1111100011001101010011,error warning,0110101001110001001000
error warning,0110101001110001001000,warning reports,1000100100011100110011
warning reports,1000100100011100110011,reports mc,1110011001111000111011
reports mc,1110011001111000111011,mc operating,1100011101111011100111
mc operating,1100011101111011100111,operating conditions,1101110011100111010001
operating conditions,1101110011100111010001,conditions warrant,0011101000110001011000
conditions warrant,0011101000110001011000,warrant debugtest,1000101100000100100101
warrant debugtest,1000101100000100100101,debugtest messages,0010010010111001100010
debugtest messages,0010010010111001100010,messages shall,1100110001010101110100
messages shall,1100110001010101110100,shall provide,1010111010011111000110
shall provide,1010111010011111000110,provide several,1111100011010101111100
provide several,1111100011010101111100,several optionally,1010111110011010100001
several optionally,1010111110011010100001,optionally selectable,1101010000110100100011
optionally selectable,1101010000110100100011,selectable levels,1010010001101000010011
selectable levels,1010010001101000010011,levels printed,0100001001111111101001
levels printed,0100001001111111101001,printed messages,1111110100111001100010
printed messages,1111110100111001100010,messages detailing,1100110001000100011011
messages detailing,1100110001000100011011,detailing operational,0010001101111011100010
detailing operational,0010001101111011100010,operational parameters,1101110001011010110000
operational parameters,1101110001011010110000,parameters critical,1101011000000101111110
parameters critical,1101011000000101111110,critical locations,0010111111001000000101
critical locations,0010111111001000000101,locations system,0100000010110110010001
formatted output,0111010001111010101010,output shall,1101010101010101110100
output shall,1101010101010101110100,shall deliver,1010111010000100111010
shall deliver,1010111010000100111010,deliver formatted,0010011101001110100011
deliver formatted,0010011101001110100011,formatted final,0111010001101111110111
formatted final,0111010001101111110111,final results,0111111011110100000000
final results,0111111011110100000000,results ee,1010000000001100101010
results ee,1010000000001100101010,ee system,0110010101010110010001
shall produce,1010111010011111010001,produce data,1111101000100101100011
produce data,1111101000100101100011,data needed,0010110001111011000000
data needed,0010110001111011000000,needed ee,1101100000001100101010
needed ee,1101100000001100101010,ee system,0110010101010110010001
ee system,0110010101010110010001,system archiving,1011001000100011000111
system archiving,1011001000100011000111,archiving processing,0001100011111111110001
output currently,1101010101000101101000,currently expected,0010110100001111000000
currently expected,0010110100001111000000,expected form,0111100000001111100000
expected form,0111100000001111100000,form compatible,0111110000000111101101
form compatible,0111110000000111101101,compatible aips,0011110110100001111001
compatible aips,0011110110100001111001,aips measurement,0000111100111000101001
aips measurement,0000111100111000101001,measurement sets,1100010100110101111101
monitor control,1100101000000101000111,control system,0010100011110110010001
control system,0010100011110110010001,system shall,1011001000110101110100
system shall,1011001000110101110100,shall acknowledge,1010111010000000010011
shall acknowledge,1010111010000000010011,acknowledge receipt,0000001001111101110101
acknowledge receipt,0000001001111101110101,receipt data,1110111010100101100011
receipt data,1110111010100101100011,data received,0010110001111101111100
data received,0010110001111101111100,received mc,1110111110011000111011
received mc,1110111110011000111011,mc correlator,1100011101100101011111
mc correlator,1100011101100101011111,correlator system,0010101111110110010001
correlator system,0010101111110110010001,system shall,1011001000110101110100
system shall,1011001000110101110100,shall notify,1010111010011011010010
shall notify,1010111010011011010010,notify mc,1101101001011000111011
notify mc,1101101001011000111011,mc detected,1100011101100100011000
mc detected,1100011101100100011000,detected interruptions,0010001100001001010101
detected interruptions,0010001100001001010101,interruptions data,0100101010100101100011
interruptions data,0100101010100101100011,data delivery,0010110001100100111111
data delivery,0010110001100100111111,delivery correlator,0010011111100101011111
delivery correlator,0010011111100101011111,correlator ee,0010101111101100101010
correlator ee,0010101111101100101010,ee shall,0110010101010101110100
ee shall,0110010101010101110100,shall verify,1010111010010011000100
shall verify,1010111010010011000100,verify successful,1001100010010110101111
verify successful,1001100010010110101111,successful delivery,1011010111100100111111
successful delivery,1011010111100100111111,delivery output,0010011111111010101010
delivery output,0010011111111010101010,output ee,1101010101001100101010
output ee,1101010101001100101010,ee internal,0110010101001001011011
ee internal,0110010101001001011011,internal data,0100101101100101100011
internal data,0100101101100101100011,data shall,0010110001110101110100
data shall,0010110001110101110100,shall guarantee,1010111010001010000011
shall guarantee,1010111010001010000011,guarantee safe,0101000001110100010111
guarantee safe,0101000001110100010111,safe delivery,1010001011100100111111
safe delivery,1010001011100100111111,delivery internal,0010011111101001011011
delivery internal,0010011111101001011011,internal messages,0100101101111001100010
internal messages,0100101101111001100010,messages lag,1100110001001000100100
messages lag,1100110001001000100100,lag frames,0100010010001110101011
lag frames,0100010010001110101011,frames shall,0111010101110101110100
frames shall,0111010101110101110100,shall able,1010111010000000000011
shall able,1010111010000000000011,able handle,0000000001101010001110
able handle,0000000001101010001110,handle lag,0101000111001000100100
handle lag,0101000111001000100100,lag frames,0100010010001110101011
lag frames,0100010010001110101011,frames less,0111010101101000110000
frames less,0111010101101000110000,less values,0100011000010011001011
less values,0100011000010011001011,values lag,1001100101101000100100
values lag,1001100101101000100100,lag sets,0100010010010101111101
lag sets,0100010010010101111101,sets shall,1010111110110101110100
sets shall,1010111110110101110100,shall able,1010111010000000000011
shall able,1010111010000000000011,able handle,0000000001101010001110
able handle,0000000001101010001110,handle lag,0101000111001000100100
handle lag,0101000111001000100100,lag sets,0100010010010101111101
lag sets,0100010010010101111101,sets maximum,1010111110111000111110
sets maximum,1010111110111000111110,maximum size,1100011111010101001110
maximum size,1100011111010101001110,size value,1010100111010011001001
data receive,0010110001111101110100,receive shall,1110111010010101110100
receive shall,1110111010010101110100,shall receive,1010111010011101110100
shall receive,1010111010011101110100,receive incoming,1110111010001011111100
receive incoming,1110111010001011111100,incoming data,0101111110000101100011
incoming data,0101111110000101100011,data packets,0010110001111010110100
data packets,0010110001111010110100,packets correlator,1101011010000101011111
packets correlator,1101011010000101011111,correlator backend,0010101111100011100100
correlator backend,0010101111100011100100,backend network,0001110010011011000111
backend network,0001110010011011000111,network interface,1101100011101001001000
network part,1101100011111010010001,part system,1101001000110110010001
part system,1101001000110110010001,system verify,1011001000110011000100
system verify,1011001000110011000100,verify receive,1001100010011101110100
verify receive,1001100010011101110100,receive shall,1110111010010101110100
receive shall,1110111010010101110100,shall verify,1010111010010011000100
shall verify,1010111010010011000100,verify successful,1001100010010110101111
verify successful,1001100010010110101111,successful receipt,1011010111111101110101
successful receipt,1011010111111101110101,receipt incoming,1110111010101011111100
receipt incoming,1110111010101011111100,incoming data,0101111110000101100011
incoming data,0101111110000101100011,data correlator,0010110001100101011111
includes checking,0101111111100110010010,checking receive,0011001001011101110100
checking receive,0011001001011101110100,receive errors,1110111010001101010010
