lambda_gram,embedding
máquina,0011010110010001
habl,0010011000111001
bárbaro,0000011110000011
detener,0001011001111001
huele,0010011101110100
bibliotecario,0000011001110111
odio,0011011100100100
poseer,0100000110010100
dejado,0001010100010011
alguno,0000001001010011
cumplido,0001010000110000
sustituir,0101000000100111
recobrar,0100010100000000
ayudarme,0000010110010111
coloquen,0001000100001001
vecina,0101001101110111
tristeza,0101001010000010
continuar,0001001001110101
habitado,0010011000110101
depender,0001010101010100
empecer,0001100100010001
laurar,0011000100010010
encontraste,0001100101010111
oso,0011100000000000
supercalifragilisticoespialidoso,0101000000000000
proseguir,0100001100010000
miedo,0011010001100010
descargar,0001010110010111
fragmento,0010010000100000
sensación,0100100000110010
cola,0001000010010010
alarmante,0000001000100011
infructuós,0010100100000010
debo,0001010001110111
río,0100011100110101
salud,0100011101110101
escribir,0010000100010110
corazón,0001001100010111
eternamente,0010001000110100
aclamación,0000000010010001
recupera,0100010100100100
pelo,0011100101110100
peso,0100000001000111
ahoritar,0000001000000011
desatar,0001010110001000
carcajear,0000100100000000
espanzurrado,0010000101010000
asistir,0000010010000111
estómago,0010001000110001
nacimiento,0011011000001000
air,0000001000001001
especia,0010000101010010
inventillo,0010100101110011
vais,0101001101001001
penoso,0011100110000001
arbusto,0000010000100001
disitinto,0001011101100111
planeta,0100000100010011
aparato,0000001101010101
colita,0001000100000010
madrina,0011001010000100
continuo,0001001001110110
madrastra,0011001001111000
curiosidad,0001010000110111
humanos,0010011110000100
almorzar,0000001001101001
jugarer,0011000001000101
regañar,0100010101010100
valent,0101001101010000
até,0000010101100000
lindo,0011000101101000
vear,0101001101110110
verter,0101010000110001
verás,0101010000110011
pellizcar,0011100101110001
ópera,0101010101100000
pantalón,0011100001100000
fabulosa,0010001100000000
delito,0001010101000010
siguiente,0100100001110101
mascota,0011001110000011
fruncido,0010010000111001
comida,0001000101000001
helar,0010011010001001
murciégalo,0011010101110110
castigado,0000100101000000
asombrado,0000010010010000
cayo,0000100101010110
verde,0101010000100001
afuero,0000000101100111
levantar,0011000100110111
armiño,0000010000111000
ministro,0011010001111001
regla,0100010101010111
salón,0100011110000101
tráiganme,0101001100000001
fruncir,0010010001000000
pierna,0100000001100110
acabado,0000000001100011
vivíar,0101010010001000
sospecha,0100100101100000
sonrisa,0100100101000100
