lambda_gram,embedding
máquina,0100100000100
habl,0111101101000
bárbaro,0001010001000
detener,0010111001000
huele,0111110111101
bibliotecario,0001111110111
odio,0100111001010
poseer,1100001010011
dejado,0011100011101
alguno,0000010000011
cumplido,0011101011101
sustituir,1101001110010
recobrar,1100101011110
ayudarme,0001101111111
coloquen,0011001111111
vecina,1111110000001
tristeza,1111011110011
continuar,0011010000110
habitado,0111101101110
depender,0010100011011
empecer,0010011001100
laurar,0101000111100
encontraste,0010001110111
oso,0100110110100
supercalifragilisticoespialidoso,1101001001100
proseguir,1100010111101
miedo,0101101000101
descargar,0010100100011
fragmento,0110111001110
sensación,1101110010000
cola,0011001100110
alarmante,0000010110000
infructuós,0111011111101
debo,0011100100111
río,1101101000000
salud,1101111110100
escribir,0110001100110
corazón,0011110110111
eternamente,0110011100111
aclamación,0000001110110
recupera,1100101111010
pelo,0100001000101
peso,0100000101000
ahoritar,0000010101110
desatar,0010100101110
carcajear,0001001000110
espanzurrado,0110001010101
asistir,0000100010100
estómago,0110011101100
nacimiento,0100100010100
air,0000010111001
especia,0110001011100
inventillo,0111001010011
vais,1111010010111
penoso,0100001001011
arbusto,0000101110111
disitinto,0010110010100
planeta,1100000011001
aparato,0000111010010
colita,0011001101001
madrina,0101010111110
continuo,0011010000010
madrastra,0101010101001
curiosidad,0011101010011
humanos,0111110010000
almorzar,0000110001011
jugarer,0111000010111
regañar,1100100101111
valent,1111010010101
até,0001100101000
lindo,0101001010000
vear,1111110000000
verter,1111110101100
verás,1111110100101
pellizcar,0100001000010
ópera,1111101100100
pantalón,0100010011110
fabulosa,0110010000010
delito,0010100000101
siguiente,1101010001110
mascota,0101110101100
fruncido,0110101000100
comida,0011001001111
helar,0111111000001
murciégalo,0101100000100
castigado,0001001111010
asombrado,0000100011111
cayo,0001001100010
verde,1111110111011
afuero,0000011110100
levantar,0101001100001
armiño,0000101101101
ministro,0101101011100
regla,1100100101011
salón,1101111101001
tráiganme,1111011101111
fruncir,0110101001100
pierna,0100000010011
acabado,0000000100000
vivíar,1111111001000
sospecha,1101011010000
sonrisa,1101011111000
lamentable,0101000011001
estúpido,0110011100100
2875,0000000000100
negar,0100100101010
flauto,0110111111101
chica,0001000001001
cumpleaños,0011101011111
regordetar,1100100101001
desenterrado,0010101110101
encadenar,0010001001101
festejo,0110110101001
pues,1100010000101
frase,0110111000100
dónde,0010011100011
probárselo,1100011101010
espinaca,0110011000000
advertido,0000011010100
armatoste,0000101101111
brís,0001110011000
inimaginable,0111011010011
cerrojo,0001000010111
pantallar,0100010011010
merecer,0101111001000
viaj,1111111100000
fornido,0110111011100
gobernante,0110100110001
rastrero,1100111110000
corteza,0011110101111
hechizo,0111101000011
devorado,0010111010110
atraído,0001100110111
círculo,0011101111010
diamant,0010111110111
espero,0110001000110
cocodrilo,0011000101101
boscar,0001110101001
caja,0001010111111
animal,0000111101010
calma,0001010100110
encerrar,0010001010111
estropeando,0110011111010
llevarte,0101011000100
todavía,1111000100001
niebla,0100100100010
deleito,0011100000111
hombrecillo,0111111100010
pueblito,1100010001001
violín,1111111110111
vestirte,1111110100010
corneta,0011110111100
exagerado,0110010101100
pulpa,1100110000001
volcán,1111111001100
atardecer,0001100000101
libro,0101001111111
tortazo,1111001010110
lloras,0101011011011
ah,0000010100100
pronunciar,1100010101000
presuma,1100011011111
impaciente,0111010011111
plata,1100000010100
gallinero,0110101111000
osaka,0100110111001
anuncio,0000111010000
prir,1100011110101
bigot,0001111111110
dibujaste,0010111111010
esperanzado,0110001001100
admiración,0000011000111
peluquero,0100001001110
regalársela,1100100100100
mitad,0101101111011
crecido,0011111101110
afectar,0000011010110
importante,0111010110001
mentira,0101111011100
detective,0010111001011
perrito,0100001100101
déjamar,0010010100001
difuntir,0010111100010
pequeñajo,0100001011100
desafiante,0010100110010
gratis,0111100000011
santa,1101111100101
golpeé,0110100011100
pasión,0100011100010
largamente,0101000010001
gentileza,0110100101001
cercanir,0001000110110
banana,0001101001010
ambos,0000110110100
exitoso,0110010110010
último,1111101100110
cerámico,0001000011100
empapado,0010011001101
diamante,0010111110101
norteamérico,0100101110110
figuritar,0110111100000
caído,0001000100001
prisa,1100011110100
problema,1100011101001
estudio,0110011101010
platillo,1100000010110
demostrado,0010100001101
punto,1100110001010
exterminarno,0110010011000
amuleto,0000110101100
haga,0111101010000
bosque,0001110101000
generosidad,0110100101100
humeant,0111110010001
insistencia,0111011001010
puerto,1100010000100
hermosísimo,0111111011111
dos,0010010010011
organizarlos,0100110101100
hierba,0111111110000
mereces,0101111001001
tocasar,1111000100010
castillo,0001001101000
hilo,0111111111110
vero,1111110101101
llover,0101011011100
salvo,1101111111000
entender,0010000110000
rebotar,1100101000110
pelear,0100011000001
repartir,1100100001000
encerrado,0010001010101
malo,0101010001001
enterrarir,0010000011100
oscuridad,0100110111111
volar,1111111001110
bondadosa,0001110100100
comienzo,0011001000100
cambiaréis,0001011100100
ganso,0110101100101
paliza,0100010000010
trolls,1111011111101
aro,0000101101100
rico,1101100100001
flota,0110111110010
separar,1101110011110
érase,1111101101001
consigo,0011010110101
jirafa,0111000111000
misteriosamente,0101101111110
zorrillo,1111101110001
ratonville,1100111011010
lamentar,0101000011011
pérez,1100110010100
ansiosamente,0000111111010
experto,0110010010000
olla,0100111110111
leal,0101000111010
astuta,0000100001010
trampa,1111001000010
pintoresco,0100000000101
intacto,0111001000001
auxiliar,0001100100001
desprender,0010101000001
asibikaashi,0000100010011
según,1101110111011
enjaulado,0010000101010
provocado,1100010010010
labio,0101000000110
pingüino,0100000001000
ós,1111101100111
miau,0101101000011
vergüenza,1111110101001
virus,1111111110010
comodidad,0011001000101
mamá,0101010000101
obsesión,0100101000111
comandar,0011001010011
doler,0010010001011
patita,0100011110111
cabo,0001010010011
hachazo,0111101110100
llamo,0101001011110
tomate,1111001100111
manda,0101010000001
fracasado,0110111001011
huno,0111110011011
gruñir,0111100010011
prenda,1100001000110
piedra,0100000110010
fama,0110110001100
urgente,1111010101001
espeso,0110001000011
fase,0110110010100
defender,0011100010011
seriedad,1101110001000
gran,0110100001101
viviera,1111111011110
delante,0011100001101
murciélago,0101100000111
cuatro,0011111001011
desterrado,0010111000010
flojo,0110111111100
emisión,0010011011001
participant,0100010101111
medio,0101111101000
fosa,0110111011011
dátil,0010010100111
jugar,0111000010110
sombrero,1101011100100
antiverdura,0000111110110
envidia,0110000001010
despierto,0010101001101
ajajá,0000010111101
discusión,0010110110111
gruñero,0111100010111
revolver,1101100101011
