lambda_gram,embedding
escuelar señora explicado claro,0100001000101100101110111001000110110100010000011011
país ficha negro sentir,0111101010100010010010101101110001010001001011011000
casi desear haber fiesta,0001110011101001100100010101010001110000100100110010
dar igual cuanta persona,0010110110100010110000000000101011010010111110101011
fruncido trajiste maceta vacío,0100101111011101000111001101100110001001010011011101
sábana sacar cabeza enorme,1001110011111100101000000100011000101000011111001010
primero nivel decidir regalar,1000010001100011100011100000101110010011000110110101
finalmente ver perder lanzar,0100100111101101010010000101111100010100110000010111
él descubrir gigantesca interior,1010110110000001100011111101001110011100101110000110
risa dar patita pingüino,1001000111110001011011010001111010010010111111100000
cruzar puente llegar colín,0010101100010100001110001101100011100010010001010110
sentir mejor jugar aquel,1001011011000011010100011101011111001000000110010110
mago ayudant tardar dar,0110011011000000100100100010011110000100010110110100
hacer él radiografía cigüeño,0101001001100101011011000010001010000010010000001001
real soler compartir palacio,1000101101001100110011001000100011110010111011110101
tres pata camine juan,1010010010100011110100000000011010010100101111011000
entonces comenzar llamar él,0011111100011001000110010101100011001111010110110000
elegir niño triste posar,0011101010101011100011110110100100111001000001001011
erdamal reparto mago volver,0100000010000100011110010101100110110001010101110101
joroba cerdo conservar hocico,0101111010001000111101011100100110100100101010110010
ayudado preparar sorpresa semana,0001001000111100000111001110011010101101001011001000
isla escocesa gigante nombre,0101110110000010000010101001001110011010111001001000
sombra frondoso árbol mango,1001100111101010010111100110101101011100110011111010
guardar moneda bolsillo mercado,0101000011111011011011100000010101101110110101100001
así recoger uno enorme,0000111110110100011000011110100110001000011111001010
tortuga olvid excelente tejedorar,1010001011110011101001111101000110001101001111010001
director escuela idea final,0011011001000010000100010001010111101010100100111100
perder aspecto enorme caja,0111110001010000011110100100111110010100001100100010
descubrir flor bello bosque,0011000111111010010100111100010100100000001011000110
bien esperar atrapado menos,0001010100000010000111001100010000110000110101011000
él enfurecer decepcionar nadie,1010110110000001111011001000101110001010111000001110
despedir familia emprender viaje,0011001100010010010000001100111011110011010100111111
palabra aprender viajar así,0111011110011000011000000110101001111010000111110110
menos nombre importante llamar,0110101011000011100100100001011000111010110001100111
solo verlo tiempo capaz,1001100111000101010010111110100000011010001101101110
palabra mujer comenzar hacer,0111011110011011011110001100100011001010101001001100
así resolver problema después,0000111110110100100000001010000101000000011001110100
forma increíble merecer claramente,0100101011000010110011100001101011001000010000011001
país hacer prisionera todo,0111101010100010100100110010000100110001010000111001
angelito ocupar puesto pesebrir,0000100111110011100111101110000111010010111110111101
poder juntar musgo usar,1000000100010010111110111101101111100101010011001011
alarde tortuga retar competir,0000011011011101000101111010010000101000010010000001
otoño brotar manzana rojo,0111011001110000101101111101101000001101001001010000
ordenar herm llevar hermoso,0111010110101010101000100101100011111100101010010010
harapo perdido joya zapato,0101001101011011111000101101011110101001010110010101
él rellenar hendija ancho,1010110110000100011100111101010100000100000100110110
vivir feliz japón diferente,1010101101000010010001111101011101110110011010110000
mejor idea encontrar forma,0110101000111010101111010100111100101010100101011000
enfurecido león decir mosquito,0011110110100011000100100000101110010100110111010001
altavoz oir fondo música,0000100001110011101000111001001010101010111000000110
descansar buen rato preparar,0011000101010000101110110010001010101111000001110011
abuelo enseñar arruga guardar,0000000110100001111101000100001110011010101000011111
jersey larga manga terminar,0101111001000011000001100101100111110011010000000000
preguntar si poder cubrir,1000001100010100101111000110000001000100010101110000
feliz ranita mayor si,0100100011111100010100100101101001100011001011110001
mudar nuevo seguir mudar,0110111011101011100101101110010101111000110111011101
pan presumir ser mejor,0111011111101100001000001010010110111100110101000111
embarcación mano nadé alcanzar,0011101100001011001111110101110000011110000011100101
fenomenal hora cubrir peludo,0100100100001010101100000100101011100000111101110101
ratón parecer buen idea,1000101011111011110001010000010111011000101011110101
mario salir jugar minuto,0110100011111100101001010001011111001000110110001100
viajero tocar puerta respuesta,1010101000000101000011010110000111001101001000001110
mejilla tres cerdito vivir,0110101000110101001001010000011110101101010101101000
inmenso desierto nadie poder,0101101100100001100101011001110000011101000000100010
dos pequeño duende entrar,0011100010010011111000011000111000111100011111100111
comen oro sorprender lechuzo,0010001100010011101100001110011010101000110000101101
dorotear puerca pensar juan,0011100010001100001110010001111011111000101111011000
pequeño cerdo debajo capa,0111110000110000111101011100101101111000001101101100
maestro deber empezar viaje,0110011010011001011011110100111011101001010100111111
juego cós hacer él,0101111011100001011010111101010010011001010110110000
alegría esperanzo quedar corazón,0000011101111010000111001010001000100100010100100001
desgracia cada vez nacer,0011001010001000110001111110101001111000111000001000
piedra gritar enfadado montaña,0111111001011010100000001100111101001000110110111111
poder volar alto gaviota,1000000100010101010111001000001000100000100110111000
entusiasmo buen resultado terminar,0011111111100000101110110010010000100101010000000000
mono poder dar él,0110110111001100000010001000101101101001010110110000
blanco saco enorme lado,0001010101001100101000001000111110010100110000001000
admiración acogido fiesta celebración,0000010000001000000101110101001001100100001110111101
cuerda dorado advertir bajo,0010101111010001110000110100000100101010001001100010
aún enfurecido causa dolor,0001001011100001111011010000011101011010011100000100
aunque saber tocar decidir,0001000101110100100111011010100001101010010111001001
juan prestar atención ir,0101111011000100000111111100010000001110101110100100
día hoy manchar enorme,0011100110110010101101001001100111100100011111001010
palacio real comadrejar liebre,0111011110101100010110100100100010110010110001010110
vencer anterior rey luego,1010100000111000010101000010010001010100110010101100
agradecer león amable invitación,0000010110001011000100100000001000110010101110011101
kioto alzar cabeza mirar,0101111111111000010001010100011000101000110110010011
alín comenzar impacientar él,0000100010110001000110010101011000100001010110110000
dar vergüenza poner él,0010110110100101010010101110000001101111010110110000
poder pelear yo tú,1000000100010011110110101010101100010001010010111101
maratónicamente casa alcanzar bosque,0110100001101000111001011100000111001010001011000110
juguete resultar invento genial,0101111101011100100001001101011100110000100111000001
despistado mismo saber cómo,0011001101010011011001110010010011101100010110101100
crecer tierra quedar raíz,0010101000111101000001001110001000100101000101100110
él hormiga decir aburrido,1010110110000010101100001000101110010100000000111001
cualquiera mentira partir 7,0010101101000011010101110001111001010000000000010000
blanco través reino rival,0001010101001101001000110110001110010001001001000010
menor presentar padre reconocer,0110101010111100000111101001110111001101000110010010
detener preguntar él cocinar,0011010000101100000110001010101101100000010000101000
animalillo miedoso solitario nadie,0000101000111011010111100110011001101000111000001110
árbol frutal árbol tanto,1010110101110010010111111110101101011101001110111100
malo nuevo co él,0110011100110011100101101100100001000101010110110000
decir palabra mágico caer,0010111001010011101111001101101111110000001100100001
fantasma sentir tanto feliz,0100100001010100101101100010011101111000100100011111
ala igual ala gaviota,0000011011000010110000000000000110110000100110111000
ir caer rey deber,0101110100100000110010000110010001010100010110111101
árbol maravilloso solo ver,1010110101110011010001001110011001110001010100100001
llevar él galletica animar,0110001111110101011011000001001101000100000101001001
problema clamor habitante reino,1000010100000001000001100001010010001001000111001000
torpe etc aquel sólo,1010001010100010001011001000001100101101001110100110
él ser alto necesitar,1010110110000100101101111000001000100000111000100001
colmar niña hermoso deseo,0010001001000011100011100101010100100100011001001110
anciano comerciar pescado mercado,0000100111000001000110100101111101101110110101100001
calor tierra resecar prado,0001100110110101000001001110001111110001000001010011
apelar él hermana desesperado,0000101100100101011011000001010100010100011001001111
leer hechizo libro mágico,0110000110000010100111110001100010100110110111111000
ocurrir cosa hacer agujero,0111001111111001010011010001010010011000000011000011
desaparecido muchísimos año regresar,0011000011111011011101110000010010110111000111000010
hacer caminante quitar abrigo,0101001001100000110100100010001001011100000000101001
llamar riquete copetir pues,0110001100111100100011101000101000111011000011101000
malvado barbadepega solo llegar,0110011101010000100111001110011001110000110001110001
tierra cocodrilo piel suave,1010000010011001000010110001111110011101001101100001
acercar murciélago notar pluma,0000001010011011011110110101110010100001000000010001
comenzar seguir extraño bailar,0010001100101100101011110001000111100100001001011110
seguir llegar gente continuar,1001010111100011000111000101001110001010010011111000
pequeño pueblo perú humilde,0111110000110100001110001001111101100010101011100001
luisa solicitud final preguntar,0110010101110100110011001101001001111001000001100010
ratonville empezar parecer pueblo,1000101011100001110111010001111000101001000011100010
viejo historia leyenda salto,1010101001010010101010110101100010000001001010011001
contentísimo plantar nuevo jardín,0010011110001100000000001101110010110110101111000000
luchar solo sábana pegajós,0110010100111100110011100010011100111110111101100010
preocup madrín responder juan,1000001101010011001100111110010000010110101111011000
suceder tigre aún fuerte,1001101100111101000001011100010010111000100110000111
mirar hacia atrás ver,0110110010011010100101010000010001001001010100100001
cerdito despedir besito mejilla,0001111010110001100110001000010100101110110101000110
anuncio necesitar encontrar alguien,0000101011001011100010000100111100101010000011111000
llegar segundo jardín rodeado,0110001110001100101011111001011110000001001001001100
joya así gruñó revolcar,0101111010100000011111011001010000101111001000100011
halloweir escuchar grande risotada,0101001100010010000100000001001111100001001000111111
tampoco ir renunciar decidir,1001110111010010111010010010001110111100010111001001
aparecer niño supersabio acompañado,0000101011110011100011110110011100010010000001011110
resultar útil tiempos guerro,1001000010011101011100000110100000011100101000101011
hacer tanto amigo poder,0101001001100100111011110000001001010011000000100010
sentir garra tigre acariciar,1001011011000010011011001010100000101110000001000101
cada año ganador cruel,0001100011111000100101101101001101010100010101011101
vacío noto puerto decir,1010011011101011100101001110000111001110010111001010
principio apenas notar tiempo,1000010010011000010110100001110010100001010000001101
terminado odio sembrar primero,1001111111111011101000010010010110010101000010001100
siguiente buen problema tratar,1001100000000000101110110010000101000001010010001001
entonces pedir rey mino,0011111100011011110101101110010001010100110110001010
volar mirar hacia ir,1010101110010011011001001101010010101000101110100100
decir favor ser codicioso,0010111001010010010001010110010110111100010000101111
entrar pequeño erizo acercar,0011111100111011111000011001000000100100000001010011
parar medio camino descansar,0111100010010011010100001000011010011000011000101010
habilidades social montón cosa,0101000111111100110010011001101110000010010100110100
pensar ser bromo pesado,0111101111100100101101111000010110111000111110110100
oportunidad encontrar él país,0111010110000001111001010110101101100000111101010100
pensar si bebé tanto,0111101111100100101111000100010100011011001110111100
todo araña mundir ocho,1010000111001000011001101001101111010000111001110111
madre abrir puerta acercar,0110011001010000000010101010000111001100000001010011
tanto cerca decir sino,1001110111100000111101001000101110010101001100010011
lloró musitar palabra solo,0110010001100011011111010001110111100111001100111000
mitad diente sartén hierro,0110110100001001101010101110010101011100101010100000
viejecito despistado mismo saber,1010101000111001100110101001101100111001001001110110
