y_text,y_emb
webrtc,10001011100
campuses,00010001010
designed,00100010101
interact,01001000110
backend,00011100100
simultaneously,10101011001
usability,10011111100
users,10011010111
toolslibraries,10010011010
data,00101100011
management,11000010010
making,11000011101
particular,11010010111
set,10101111111
allow,00001110101
page,11010110101
based,00010100000
adminusers,00001100010
clear,00110110111
counts,00101010010
description,00100010001
install,01011000101
communicate,00110100000
assume,00011011111
nave,11001000101
read,11101011100
configuration,00111010010
reliability,11100101100
post,11110111010
functions,01110010111
seconds,10100101011
listings,01000001011
video,10011000011
compare,00111100110
single,10101011000
provide,11111000110
application,00001000100
name,11001001011
amount,00001010101
add,00000101001
ensure,01101111111
loss,11000000111
general,01110011100
scheme,10100110111
stream,10111100101
protocol,11111000101
friends,01110110101
unit,10011100010
statistics,10111111111
user,10011110010
cases,00110000111
constraints,00111001100
tbd,10110011000
shall,10101110100
output,11010101010
bookking,00010111011
actions,00000110010
keep,01001100101
data,00101100011
description,00100010001
domain,01100010111
hardware,01010011000
responsive,11100000111
application,00001000100
correlator,00101011111
much,11001011111
make,11000011110
role,10100011001
able,00000000011
terms,10110000110
notified,11011010110
listing,01000001001
modify,11001110010
process,11111110110
online,11011101001
able,00000000011
transfer,10010010011
entralized,01101110110
list,01000011000
alternative,00001010001
failure,01111011011
application,00001000100
interactions,01001000100
basic,00010100011
overview,11010111010
privacy,11111111110
guarantee,01010000011
tracker,10010010100
turn,10010110100
none,11011001011
intelligently,01001000011
content,00111000000
basis,00010100010
customer,00101101001
api,00001001001
requirements,11100010101
member,11000100111
designed,00100010101
mobile,11001111101
either,01100100011
distances,01100001011
searching,10100101000
user,10011110010
shown,10101010001
gives,01110001011
frames,01110101011
good,01110001100
google,01110000100
spectra,10111001001
deduct,00100100100
special,10111000101
recommendations,11101111001
summation,10110111001
constraint,00111001101
realtime,11101010001
list,01000011000
upload,10011111010
product,11111010010
queue,11101001111
type,10010111110
resolution,11100011000
case,00110000110
want,10001001010
position,11110110100
reached,11101011111
measurement,11000101001
corrections,00101011000
system,10110010001
input,01011001111
output,11010101010
design,00100010110
delivery,00100111111
filter,01111110010
mockup,11001111100
database,00101100001
whether,10001110001
input,01011001111
important,01011101001
contact,00111000110
andor,00001011111
button,00010011111
members,11000100110
records,11101101110
data,00101100011
impede,01011100111
show,10101110000
points,11110110000
idea,01010101110
title,10010001110
application,00001000100
restrictions,11100000001
shall,10101110100
get,01110011001
implications,01011101010
media,11000101110
course,00101010011
enhancement,01101111010
backend,00011100100
effort,01100100110
user,10011110010
server,10101101000
research,11100011111
suitable,10110101001
baseline,00010100001
able,00000000011
redistribute,11101100111
crashed,00101110011
provide,11111000110
requirements,11100010101
correspondences,00101011101
rather,11101011011
must,11001011000
product,11111010010
underlines,10010100111
hardware,01010011000
source,10111000011
system,10110010001
lag,01000100100
application,00001000100
within,10001111101
follow,01111100100
must,11001011000
crashes,00101110010
resends,11100011110
crime,00101111100
convenience,00101001100
system,10110010001
used,10011110111
searching,10100101000
would,10001101110
professional,11111010101
module,11001110011
robust,10100001000
see,10100100101
needed,11011000000
sessions,10101111110
server,10101101000
send,10101100101
condition,00111010000
shall,10101110100
meaningful,11000111000
police,11110110001
resource,11100001011
respect,11100001110
inside,01011001100
based,00010100000
peers,11010001011
material,11000111100
meeting,11000100100
colour,00110101111
diagram,00100000100
function,01110110000
upon,10011111110
answers,00001011011
system,10110010001
page,11010110101
hisher,01010010001
receipt,11101110101
fireb,01111111110
storage,10111101010
difficulties,00100000011
buffer,00010010111
strict,10111100010
components,00111111110
table,10110010110
form,01111100000
basic,00010100011
duration,01100111100
task,10110011011
interface,01001001000
bar,00011100011
memory,11000100010
behavior,00010101100
using,10011011100
alert,00001111010
values,10011001011
image,01011100000
must,11001011000
intact,01011000011
option,11011100000
intended,01001000010
translatable,10010110000
rfi,10100001010
react,11101011101
values,10011001011
frames,01110101011
superket,10110111010
made,11000001110
attacks,00011010101
periodically,11110000000
device,00100001101
email,01101100001
appearance,00001001110
user,10011110010
different,00100000111
administrators,00001100001
want,10001001010
also,00001110001
track,10010011100
encounter,01101101110
research,11100011111
domain,01100010111
data,00101100011
message,11001100001
audit,00011110000
replacement,11100111110
perception,11010000101
consistent,00111001001
formatted,01110100011
errors,01101010010
find,01111110100
html,01010111011
answers,00001011011
handle,01010001110
infinities,01011011101
replication,11100111100
studies,10110100010
medium,11000101101
able,00000000011
channels,00110011100
providing,11111000001
facilitates,01111001011
distance,01100001010
location,01000000100
police,11110110001
system,10110010001
visually,10001001101
among,00001010111
recover,11101101111
access,00000001101
live,01000001111
priority,11111111010
input,01011001111
time,10010001101
user,10011110010
attempt,00011010111
interface,01001001000
technologies,10110001111
carried,00110000011
desktop,00100011101
audit,00011110000
ajax,00001111011
eg,01100100010
view,10011000001
tofrom,10010001001
today,10010001011
user,10011110010
consistent,00111001001
use,10011110101
check,00110010110
long,11000000001
easy,01100111001
located,01000001100
descriptions,00100010011
connection,00111011111
tool,10010011001
violations,10001000010
equipped,01101110000
structures,10110100001
password,11010011110
module,11001110011
distinguishable,01100001000
webcam,10001011101
allowed,00001110111
zero,10001100111
comparisons,00111100100
shall,10101110100
want,10001001010
mozilla,11001011101
proposed,11111001110
minimal,11001101001
traffic,10010010101
layout,01000111011
common,00110100011
calls,00010001000
information,01011011111
trail,10010010111
link,01000011010
system,10110010001
selectable,10100100011
placing,11110011111
pages,11010110111
platform,11110010110
webrtc,10001011100
content,00111000000
specification,10111001111
location,01000000100
level,01000010001
encryption,01101101001
impede,01011100111
minimized,11001111001
page,11010110101
second,10100101001
register,11100100000
indicate,01011110001
minimum,11001111010
alternatives,00001010010
manipulation,11000010001
familiar,01111011110
entry,01101110011
destination,00100011110
consideration,00111011011
